human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:47:42.867444, 1620568062.8674443, 2.63, 0.92, 8.89, -0.06, -0.01, -0.15, 0.06, 0.95, 8.27, -0.05, -0.02, -0.13
2021-05-09 16:47:42.976895, 1620568062.9768953, 2.69, 0.96, 9.27, -0.06, -0.01, -0.11, -0.0, 0.96, 8.61, -0.07, -0.02, -0.11
2021-05-09 16:47:43.086318, 1620568063.086318, 2.74, 0.96, 9.29, -0.06, -0.04, -0.05, 0.06, 1.01, 8.62, -0.08, -0.05, -0.04
2021-05-09 16:47:43.196387, 1620568063.1963875, 2.81, 0.82, 9.19, -0.06, -0.04, 0.0, 0.06, 0.91, 8.54, -0.09, -0.04, -0.01
2021-05-09 16:47:43.306254, 1620568063.3062546, 2.73, 0.82, 9.21, -0.03, 0.02, -0.0, 0.02, 0.88, 8.55, -0.06, 0.0, 0.0
2021-05-09 16:47:43.414966, 1620568063.414966, 2.6, 0.94, 9.25, -0.0, 0.02, 0.02, -0.11, 0.96, 8.54, -0.06, 0.02, 0.03
2021-05-09 16:47:43.525037, 1620568063.5250373, 2.47, 0.85, 9.36, -0.04, 0.02, -0.02, -0.23, 0.8, 8.64, -0.09, 0.01, -0.02
2021-05-09 16:47:43.634516, 1620568063.6345162, 2.38, 0.91, 9.38, -0.04, -0.01, -0.04, -0.27, 0.94, 8.64, -0.08, -0.02, -0.02
2021-05-09 16:47:43.743913, 1620568063.7439132, 2.35, 0.92, 9.42, -0.03, -0.04, 0.01, -0.28, 0.91, 8.68, -0.08, -0.06, 0.03
2021-05-09 16:47:43.853061, 1620568063.8530614, 2.43, 0.86, 9.32, -0.03, -0.07, 0.02, -0.22, 0.84, 8.56, -0.07, -0.06, 0.04
2021-05-09 16:47:43.963338, 1620568063.9633386, 2.37, 0.85, 9.39, -0.04, -0.08, -0.01, -0.28, 0.82, 8.64, -0.07, -0.08, 0.0
2021-05-09 16:47:44.073220, 1620568064.073221, 2.4, 0.86, 9.39, -0.04, -0.06, -0.04, -0.32, 0.81, 8.66, -0.07, -0.06, -0.03
2021-05-09 16:47:44.182491, 1620568064.182492, 2.37, 0.88, 9.36, -0.04, -0.07, -0.05, -0.29, 0.85, 8.65, -0.07, -0.07, -0.03
2021-05-09 16:47:44.291517, 1620568064.2915177, 2.32, 0.91, 9.44, -0.05, -0.07, -0.05, -0.33, 0.87, 8.7, -0.06, -0.08, -0.03
2021-05-09 16:47:44.401623, 1620568064.4016237, 2.46, 0.93, 9.35, -0.03, -0.09, -0.01, -0.22, 0.92, 8.61, -0.05, -0.1, 0.0
2021-05-09 16:47:44.511482, 1620568064.5114827, 2.5, 0.89, 9.32, -0.04, -0.1, -0.03, -0.21, 0.82, 8.6, -0.06, -0.1, -0.01
2021-05-09 16:47:44.620795, 1620568064.6207952, 2.54, 0.91, 9.31, -0.06, -0.11, -0.07, -0.15, 0.85, 8.61, -0.07, -0.13, -0.06
2021-05-09 16:47:44.730268, 1620568064.7302685, 2.57, 0.86, 9.29, -0.07, -0.09, -0.06, -0.08, 0.83, 8.59, -0.08, -0.13, -0.07
2021-05-09 16:47:44.839471, 1620568064.8394716, 2.65, 0.86, 9.26, -0.07, -0.08, -0.06, -0.01, 0.78, 8.59, -0.08, -0.1, -0.06
2021-05-09 16:47:44.949811, 1620568064.9498112, 2.65, 0.81, 9.27, -0.08, -0.07, -0.06, 0.04, 0.82, 8.6, -0.08, -0.11, -0.06
