human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:35:15.222613, 1620567315.222614, 2.48, 0.84, 9.02, -0.07, -0.14, 0.07, -0.37, 0.62, 8.39, -0.08, -0.19, 0.03
2021-05-09 16:35:15.330325, 1620567315.3303254, 2.67, 0.71, 9.22, -0.1, -0.1, 0.03, -0.31, 0.42, 8.55, -0.11, -0.16, -0.01
2021-05-09 16:35:15.441786, 1620567315.4417863, 2.8, 0.66, 9.22, -0.11, -0.1, -0.05, -0.17, 0.5, 8.58, -0.1, -0.14, -0.06
2021-05-09 16:35:15.551447, 1620567315.5514479, 2.79, 0.82, 9.18, -0.06, -0.02, -0.05, -0.17, 0.67, 8.54, -0.09, -0.09, -0.02
2021-05-09 16:35:15.658961, 1620567315.658962, 2.6, 0.92, 9.36, -0.02, -0.08, 0.02, -0.14, 0.77, 8.67, -0.07, -0.12, 0.04
2021-05-09 16:35:15.770735, 1620567315.770736, 2.79, 0.88, 9.25, 0.04, -0.07, 0.1, -0.1, 0.67, 8.59, -0.04, -0.12, 0.15
2021-05-09 16:35:15.878279, 1620567315.8782794, 2.8, 0.92, 9.29, 0.0, -0.06, 0.11, 0.05, 0.65, 8.65, -0.06, -0.1, 0.13
2021-05-09 16:35:15.987929, 1620567315.987929, 2.82, 0.99, 9.22, -0.03, -0.05, 0.05, 0.02, 0.7, 8.61, -0.08, -0.07, 0.08
2021-05-09 16:35:16.097607, 1620567316.0976076, 2.81, 0.88, 9.21, -0.04, -0.02, 0.0, 0.05, 0.68, 8.57, -0.07, -0.03, 0.01
2021-05-09 16:35:16.207193, 1620567316.2071936, 2.66, 0.93, 9.3, -0.03, -0.02, -0.04, -0.06, 0.69, 8.62, -0.06, -0.03, -0.02
2021-05-09 16:35:16.317346, 1620567316.317346, 2.6, 0.93, 9.34, -0.04, -0.04, -0.05, -0.12, 0.7, 8.66, -0.06, -0.03, -0.04
2021-05-09 16:35:16.426172, 1620567316.4261725, 2.61, 0.94, 9.3, -0.03, -0.05, -0.06, -0.14, 0.72, 8.61, -0.05, -0.04, -0.04
2021-05-09 16:35:16.535848, 1620567316.5358481, 2.61, 0.95, 9.31, -0.02, -0.03, -0.02, -0.19, 0.72, 8.6, -0.05, -0.02, 0.01
2021-05-09 16:35:16.647157, 1620567316.6471574, 2.59, 0.98, 9.34, -0.03, -0.05, -0.02, -0.18, 0.72, 8.64, -0.06, -0.06, -0.01
2021-05-09 16:35:16.756742, 1620567316.756743, 2.58, 0.99, 9.37, -0.04, -0.06, -0.02, -0.17, 0.76, 8.71, -0.07, -0.06, -0.01
2021-05-09 16:35:16.866204, 1620567316.8662047, 2.6, 0.99, 9.28, -0.03, -0.08, 0.04, -0.15, 0.76, 8.6, -0.07, -0.09, 0.04
2021-05-09 16:35:16.974266, 1620567316.974266, 2.65, 0.97, 9.34, -0.02, -0.07, 0.05, -0.1, 0.7, 8.66, -0.07, -0.09, 0.05
2021-05-09 16:35:17.084089, 1620567317.0840893, 2.71, 1.05, 9.27, -0.03, -0.08, 0.07, -0.07, 0.79, 8.58, -0.08, -0.09, 0.08
2021-05-09 16:35:17.195057, 1620567317.1950572, 2.68, 1.0, 9.31, -0.02, -0.07, 0.13, -0.07, 0.69, 8.68, -0.09, -0.08, 0.14
2021-05-09 16:35:17.301946, 1620567317.3019462, 2.7, 0.88, 9.28, -0.03, -0.06, 0.13, -0.07, 0.63, 8.63, -0.09, -0.06, 0.14
2021-05-09 16:35:17.414192, 1620567317.4141927, 2.69, 0.92, 9.29, -0.02, -0.05, 0.13, -0.04, 0.73, 8.63, -0.09, -0.06, 0.14
2021-05-09 16:35:17.520468, 1620567317.5204687, 2.67, 1.05, 9.24, 0.02, -0.02, 0.23, -0.11, 0.82, 8.57, -0.08, -0.03, 0.25
2021-05-09 16:35:17.629685, 1620567317.629685, 2.58, 0.94, 9.31, 0.03, -0.03, 0.3, -0.16, 0.67, 8.64, -0.09, -0.03, 0.31
2021-05-09 16:35:17.742787, 1620567317.7427876, 2.5, 0.76, 9.37, 0.01, -0.04, 0.23, -0.19, 0.42, 8.69, -0.1, -0.05, 0.24
2021-05-09 16:35:17.851799, 1620567317.8517992, 2.56, 0.67, 9.35, -0.04, -0.07, 0.05, -0.14, 0.33, 8.67, -0.08, -0.09, 0.05
2021-05-09 16:35:17.962243, 1620567317.962243, 2.68, 0.62, 9.31, -0.07, -0.08, -0.14, -0.06, 0.36, 8.65, -0.06, -0.1, -0.14
2021-05-09 16:35:18.071403, 1620567318.0714037, 2.67, 0.64, 9.34, -0.08, -0.09, -0.32, -0.07, 0.37, 8.67, -0.02, -0.09, -0.32
2021-05-09 16:35:18.181457, 1620567318.1814578, 2.62, 0.76, 9.29, -0.12, -0.09, -0.49, -0.08, 0.42, 8.63, -0.01, -0.1, -0.49
2021-05-09 16:35:18.291421, 1620567318.2914212, 2.65, 0.88, 9.29, -0.14, -0.08, -0.59, -0.09, 0.64, 8.63, -0.0, -0.09, -0.58
2021-05-09 16:35:18.400942, 1620567318.400942, 2.65, 1.05, 9.32, -0.14, -0.08, -0.56, -0.1, 0.82, 8.66, -0.01, -0.08, -0.56
2021-05-09 16:35:18.510424, 1620567318.5104244, 2.7, 1.22, 9.26, -0.11, -0.07, -0.41, -0.05, 1.06, 8.6, -0.02, -0.07, -0.38
2021-05-09 16:35:18.620481, 1620567318.6204815, 2.7, 1.19, 9.31, -0.08, -0.06, -0.2, -0.05, 0.99, 8.64, -0.05, -0.06, -0.18
2021-05-09 16:35:18.727696, 1620567318.7276962, 2.64, 1.15, 9.33, -0.03, -0.07, -0.0, -0.11, 0.96, 8.65, -0.06, -0.07, 0.02
2021-05-09 16:35:18.839197, 1620567318.8391979, 2.65, 1.09, 9.29, -0.0, -0.06, 0.14, -0.14, 0.88, 8.61, -0.08, -0.06, 0.16
2021-05-09 16:35:18.948615, 1620567318.948615, 2.65, 1.08, 9.28, 0.03, -0.06, 0.22, -0.15, 0.9, 8.58, -0.08, -0.03, 0.24
2021-05-09 16:35:19.056376, 1620567319.0563765, 2.59, 1.05, 9.41, 0.04, -0.05, 0.28, -0.14, 0.73, 8.74, -0.09, -0.03, 0.31
2021-05-09 16:35:19.167974, 1620567319.1679747, 2.76, 0.95, 9.22, 0.02, -0.1, 0.26, -0.11, 0.63, 8.56, -0.11, -0.07, 0.27
2021-05-09 16:35:19.275873, 1620567319.275873, 2.79, 0.89, 9.26, 0.01, -0.12, 0.23, -0.13, 0.56, 8.63, -0.13, -0.04, 0.16
2021-05-09 16:35:19.385402, 1620567319.3854024, 2.84, 0.73, 9.22, -0.07, -0.08, 0.07, -0.11, 0.4, 8.6, -0.11, -0.06, 0.05
