human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:46:34.050336, 1620567994.050337, 2.51, 0.95, 8.97, -0.0, -0.06, -0.0, -0.12, 0.99, 8.29, -0.03, -0.09, 0.01
2021-05-09 16:46:34.160099, 1620567994.1600993, 2.49, 1.06, 9.42, -0.03, -0.08, -0.01, -0.19, 1.0, 8.7, -0.07, -0.07, 0.07
2021-05-09 16:46:34.269488, 1620567994.269488, 2.53, 0.94, 9.19, -0.05, -0.06, 0.01, -0.13, 0.94, 8.51, -0.1, -0.05, 0.05
2021-05-09 16:46:34.378983, 1620567994.3789833, 2.46, 1.08, 9.32, -0.0, -0.08, 0.01, -0.11, 1.11, 8.6, -0.05, -0.09, 0.02
2021-05-09 16:46:34.488810, 1620567994.4888105, 2.58, 1.11, 9.34, 0.05, -0.12, 0.08, -0.17, 1.12, 8.57, -0.01, -0.09, 0.04
2021-05-09 16:46:34.598436, 1620567994.5984366, 2.64, 0.91, 9.38, -0.06, -0.04, 0.01, -0.13, 0.65, 8.74, -0.09, -0.04, -0.01
2021-05-09 16:46:34.708228, 1620567994.7082288, 2.46, 0.73, 9.38, -0.15, -0.06, -0.12, -0.11, 0.66, 8.65, -0.13, -0.07, -0.11
2021-05-09 16:46:34.817298, 1620567994.8172987, 2.77, 0.81, 9.15, -0.13, -0.08, -0.12, 0.06, 0.84, 8.53, -0.14, -0.08, -0.07
2021-05-09 16:46:34.927376, 1620567994.9273763, 2.63, 0.75, 9.45, -0.08, -0.03, -0.11, -0.11, 0.84, 8.81, -0.09, -0.03, -0.06
2021-05-09 16:46:35.035653, 1620567995.0356538, 2.55, 0.95, 9.29, -0.03, -0.07, 0.0, -0.17, 0.9, 8.58, -0.06, -0.07, -0.02
2021-05-09 16:46:35.146283, 1620567995.1462839, 2.61, 0.77, 9.25, -0.02, -0.06, 0.05, -0.1, 0.76, 8.56, -0.06, -0.06, 0.02
2021-05-09 16:46:35.255856, 1620567995.2558568, 2.56, 0.88, 9.34, -0.0, -0.07, 0.09, -0.06, 0.83, 8.68, -0.05, -0.1, 0.11
2021-05-09 16:46:35.365431, 1620567995.365431, 2.71, 0.78, 9.33, -0.04, -0.1, 0.06, -0.03, 0.69, 8.68, -0.08, -0.1, 0.05
2021-05-09 16:46:35.475313, 1620567995.475313, 2.68, 0.65, 9.25, -0.09, -0.09, -0.07, 0.05, 0.63, 8.6, -0.1, -0.1, -0.06
2021-05-09 16:46:35.584831, 1620567995.5848317, 2.77, 0.62, 9.26, -0.1, -0.12, -0.16, 0.11, 0.62, 8.64, -0.08, -0.12, -0.11
2021-05-09 16:46:35.694365, 1620567995.694365, 2.91, 0.58, 9.21, -0.11, -0.13, -0.15, 0.15, 0.61, 8.63, -0.09, -0.11, -0.14
2021-05-09 16:46:35.803937, 1620567995.803937, 2.77, 0.67, 9.3, -0.05, -0.04, -0.07, 0.02, 0.67, 8.66, -0.06, -0.03, -0.08
2021-05-09 16:46:35.913541, 1620567995.9135418, 2.69, 0.7, 9.32, -0.01, -0.1, -0.0, 0.04, 0.82, 8.66, -0.02, -0.09, 0.03
2021-05-09 16:46:36.022949, 1620567996.0229495, 2.87, 0.91, 9.22, 0.02, -0.08, 0.07, 0.07, 0.85, 8.59, -0.05, -0.04, 0.09
2021-05-09 16:46:36.132496, 1620567996.132496, 2.85, 0.75, 9.23, 0.02, -0.05, 0.1, 0.08, 0.73, 8.62, -0.05, -0.07, 0.09
2021-05-09 16:46:36.242083, 1620567996.2420833, 2.8, 0.81, 9.24, -0.02, -0.04, 0.03, 0.05, 0.69, 8.6, -0.07, -0.05, 0.03
2021-05-09 16:46:36.351213, 1620567996.351213, 2.84, 0.75, 9.32, -0.07, -0.05, -0.03, 0.04, 0.76, 8.73, -0.11, -0.03, -0.04
2021-05-09 16:46:36.461249, 1620567996.4612498, 2.71, 0.85, 9.3, 0.03, -0.07, 0.02, -0.0, 0.89, 8.65, -0.06, -0.03, 0.01
2021-05-09 16:46:36.571914, 1620567996.5719147, 2.74, 0.79, 9.28, 0.02, -0.1, 0.07, -0.04, 0.68, 8.68, -0.04, -0.09, 0.09
2021-05-09 16:46:36.680381, 1620567996.6803813, 2.8, 0.92, 9.26, -0.01, -0.08, 0.08, -0.03, 0.8, 8.63, -0.05, -0.09, 0.09
2021-05-09 16:46:36.789961, 1620567996.7899616, 2.82, 0.91, 9.25, -0.02, -0.07, 0.06, -0.03, 0.77, 8.65, -0.06, -0.07, 0.06
2021-05-09 16:46:36.899586, 1620567996.8995867, 2.88, 0.99, 9.26, -0.05, -0.1, 0.04, 0.11, 0.8, 8.67, -0.09, -0.11, 0.04
2021-05-09 16:46:37.009102, 1620567997.009102, 2.99, 0.8, 9.18, -0.07, -0.08, 0.06, 0.16, 0.69, 8.61, -0.13, -0.1, 0.03
2021-05-09 16:46:37.118354, 1620567997.1183548, 2.98, 0.62, 9.23, -0.07, -0.06, 0.03, 0.21, 0.55, 8.66, -0.11, -0.09, 0.01
2021-05-09 16:46:37.228371, 1620567997.2283716, 3.0, 0.72, 9.25, -0.05, -0.07, 0.01, 0.29, 0.71, 8.67, -0.08, -0.09, 0.0
2021-05-09 16:46:37.337805, 1620567997.3378053, 2.98, 0.68, 9.19, -0.03, -0.03, 0.04, 0.22, 0.58, 8.64, -0.08, -0.06, 0.04
2021-05-09 16:46:37.447498, 1620567997.4474988, 2.79, 0.67, 9.32, -0.04, -0.04, -0.02, 0.2, 0.57, 8.71, -0.06, -0.06, -0.02
2021-05-09 16:46:37.557035, 1620567997.557035, 2.96, 0.76, 9.2, -0.02, -0.09, -0.06, 0.23, 0.63, 8.63, -0.03, -0.11, -0.04
2021-05-09 16:46:37.666646, 1620567997.6666462, 2.93, 0.74, 9.2, -0.03, -0.05, -0.04, 0.29, 0.63, 8.6, -0.05, -0.07, -0.02
2021-05-09 16:46:37.776355, 1620567997.776355, 2.93, 0.77, 9.18, -0.02, -0.03, -0.05, 0.26, 0.68, 8.59, -0.04, -0.05, -0.03
2021-05-09 16:46:37.885758, 1620567997.8857584, 2.86, 0.8, 9.24, -0.03, -0.02, -0.08, 0.21, 0.64, 8.63, -0.04, -0.04, -0.06
2021-05-09 16:46:37.995422, 1620567997.9954221, 2.77, 0.89, 9.24, -0.04, -0.01, -0.06, 0.14, 0.77, 8.63, -0.05, -0.0, -0.04
2021-05-09 16:46:38.104816, 1620567998.104817, 2.7, 0.94, 9.31, -0.02, -0.0, -0.03, 0.05, 0.83, 8.65, -0.06, 0.02, -0.01
2021-05-09 16:46:38.214305, 1620567998.2143056, 2.72, 0.85, 9.25, -0.0, 0.01, -0.02, 0.01, 0.69, 8.62, -0.06, 0.04, 0.02
2021-05-09 16:46:38.323893, 1620567998.3238935, 2.67, 0.88, 9.31, -0.04, 0.01, -0.04, -0.06, 0.69, 8.66, -0.07, 0.03, -0.02
2021-05-09 16:46:38.433813, 1620567998.4338136, 2.57, 0.86, 9.35, -0.07, -0.02, -0.04, -0.13, 0.71, 8.68, -0.09, -0.0, -0.04
