human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:20:55.014147, 1620566455.0141473, 3.79, 0.81, 8.55, -0.01, -0.04, 0.02, 0.44, 0.59, 8.33, -0.05, -0.05, 0.04
2021-05-09 16:20:55.122980, 1620566455.1229804, 3.88, 0.83, 8.86, -0.02, -0.04, 0.01, 0.4, 0.59, 8.62, -0.06, -0.04, 0.03
2021-05-09 16:20:55.232264, 1620566455.2322643, 3.82, 0.83, 8.95, -0.03, -0.03, -0.02, 0.32, 0.59, 8.68, -0.05, -0.04, -0.01
2021-05-09 16:20:55.342239, 1620566455.3422394, 3.79, 0.88, 8.95, -0.03, -0.03, -0.03, 0.31, 0.65, 8.65, -0.05, -0.04, -0.03
2021-05-09 16:20:55.451110, 1620566455.4511104, 3.75, 0.88, 8.98, -0.03, -0.04, -0.03, 0.26, 0.64, 8.67, -0.05, -0.05, -0.03
2021-05-09 16:20:55.561482, 1620566455.5614827, 3.71, 0.9, 9.0, -0.04, -0.06, -0.04, 0.23, 0.65, 8.66, -0.06, -0.06, -0.04
2021-05-09 16:20:55.671020, 1620566455.67102, 3.71, 0.91, 8.99, -0.04, -0.06, -0.03, 0.24, 0.71, 8.65, -0.06, -0.06, -0.02
2021-05-09 16:20:55.780381, 1620566455.7803814, 3.68, 0.91, 8.95, -0.03, -0.04, -0.03, 0.19, 0.66, 8.62, -0.06, -0.04, -0.01
2021-05-09 16:20:55.890088, 1620566455.8900888, 3.69, 0.94, 9.0, -0.04, -0.05, -0.03, 0.2, 0.67, 8.69, -0.06, -0.06, -0.01
2021-05-09 16:20:55.999624, 1620566455.9996247, 3.62, 0.96, 9.07, -0.03, -0.05, 0.0, 0.17, 0.7, 8.7, -0.07, -0.05, 0.02
