human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:25:25.254202, 1620566725.2542026, 2.79, 0.78, 8.92, -0.02, -0.09, -0.05, -0.12, 0.53, 8.37, -0.02, -0.1, -0.03
2021-05-09 16:25:25.363779, 1620566725.3637795, 3.0, 0.82, 9.14, -0.03, -0.08, -0.03, -0.06, 0.53, 8.56, -0.04, -0.11, -0.02
2021-05-09 16:25:25.473522, 1620566725.4735227, 3.05, 0.84, 9.13, -0.04, -0.05, -0.02, -0.04, 0.56, 8.55, -0.05, -0.08, -0.01
2021-05-09 16:25:25.582693, 1620566725.582693, 2.92, 0.85, 9.25, -0.04, -0.04, 0.01, -0.11, 0.61, 8.67, -0.08, -0.04, 0.01
2021-05-09 16:25:25.692335, 1620566725.6923356, 2.85, 0.76, 9.25, -0.04, -0.03, 0.02, -0.16, 0.52, 8.67, -0.08, -0.05, 0.02
2021-05-09 16:25:25.802049, 1620566725.8020499, 2.85, 0.74, 9.23, -0.04, -0.04, 0.0, -0.14, 0.5, 8.63, -0.07, -0.04, 0.02
2021-05-09 16:25:25.911010, 1620566725.9110107, 2.81, 0.74, 9.21, -0.03, -0.01, 0.0, -0.18, 0.48, 8.59, -0.07, -0.02, 0.01
2021-05-09 16:25:26.020734, 1620566726.0207348, 2.8, 0.75, 9.3, -0.02, -0.02, -0.0, -0.23, 0.51, 8.65, -0.06, -0.02, 0.0
2021-05-09 16:25:26.130705, 1620566726.1307058, 2.73, 0.77, 9.31, -0.02, -0.03, 0.0, -0.25, 0.53, 8.65, -0.06, -0.02, 0.01
2021-05-09 16:25:26.240343, 1620566726.240343, 2.75, 0.75, 9.27, -0.02, -0.06, 0.0, -0.28, 0.49, 8.65, -0.05, -0.04, 0.02
2021-05-09 16:25:26.349778, 1620566726.3497784, 2.76, 0.81, 9.29, -0.02, -0.06, -0.0, -0.29, 0.51, 8.66, -0.05, -0.05, 0.01
2021-05-09 16:25:26.459653, 1620566726.4596531, 2.78, 0.8, 9.26, -0.03, -0.06, -0.01, -0.29, 0.54, 8.63, -0.06, -0.05, 0.0
2021-05-09 16:25:26.569266, 1620566726.5692668, 2.8, 0.8, 9.28, -0.03, -0.06, -0.02, -0.29, 0.5, 8.66, -0.06, -0.06, -0.01
2021-05-09 16:25:26.678873, 1620566726.6788733, 2.8, 0.84, 9.28, -0.04, -0.07, -0.02, -0.28, 0.56, 8.62, -0.06, -0.07, -0.01
