human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:39:59.187486, 1620567599.1874866, 2.51, 0.99, 8.95, -0.04, -0.08, -0.03, 0.24, 0.63, 8.31, -0.06, -0.09, -0.02
2021-05-09 16:39:59.297083, 1620567599.2970836, 2.6, 1.06, 9.27, -0.03, -0.09, -0.02, 0.3, 0.75, 8.63, -0.06, -0.07, -0.0
2021-05-09 16:39:59.406628, 1620567599.4066281, 2.65, 1.06, 9.3, -0.04, -0.1, -0.01, 0.28, 0.76, 8.62, -0.07, -0.07, 0.01
2021-05-09 16:39:59.516425, 1620567599.5164256, 2.67, 1.01, 9.27, -0.04, -0.07, -0.01, 0.22, 0.67, 8.62, -0.08, -0.05, -0.02
2021-05-09 16:39:59.625988, 1620567599.6259887, 2.66, 1.02, 9.3, -0.04, -0.06, -0.0, 0.25, 0.66, 8.63, -0.07, -0.05, -0.02
2021-05-09 16:39:59.735387, 1620567599.7353873, 2.64, 1.0, 9.29, -0.04, -0.06, 0.01, 0.24, 0.71, 8.66, -0.07, -0.04, 0.01
2021-05-09 16:39:59.844934, 1620567599.844935, 2.66, 1.0, 9.27, -0.03, -0.08, -0.0, 0.23, 0.69, 8.65, -0.06, -0.06, -0.0
2021-05-09 16:39:59.953640, 1620567599.9536407, 2.68, 1.0, 9.28, -0.04, -0.07, -0.01, 0.21, 0.67, 8.67, -0.06, -0.07, -0.01
2021-05-09 16:40:00.063363, 1620567600.0633633, 2.68, 1.02, 9.27, -0.03, -0.06, -0.02, 0.2, 0.68, 8.63, -0.06, -0.07, 0.0
2021-05-09 16:40:00.173703, 1620567600.1737037, 2.68, 0.98, 9.3, -0.03, -0.07, -0.02, 0.24, 0.67, 8.67, -0.06, -0.07, 0.01
2021-05-09 16:40:00.282571, 1620567600.282571, 2.74, 1.04, 9.26, -0.03, -0.07, -0.03, 0.24, 0.72, 8.6, -0.06, -0.08, 0.0
2021-05-09 16:40:00.392832, 1620567600.392832, 2.76, 1.06, 9.26, -0.05, -0.06, -0.02, 0.29, 0.71, 8.65, -0.07, -0.07, -0.0
2021-05-09 16:40:00.501642, 1620567600.501642, 2.76, 1.01, 9.28, -0.03, -0.07, -0.01, 0.27, 0.66, 8.63, -0.06, -0.06, 0.01
2021-05-09 16:40:00.611834, 1620567600.6118343, 2.72, 1.03, 9.3, -0.03, -0.03, -0.02, 0.26, 0.67, 8.66, -0.06, -0.05, 0.0
2021-05-09 16:40:00.720917, 1620567600.7209175, 2.67, 1.02, 9.29, -0.03, -0.04, -0.01, 0.21, 0.67, 8.66, -0.06, -0.06, 0.01
2021-05-09 16:40:00.830453, 1620567600.8304534, 2.63, 1.02, 9.32, -0.03, -0.04, -0.01, 0.2, 0.66, 8.67, -0.06, -0.06, 0.01
2021-05-09 16:40:00.940730, 1620567600.94073, 2.69, 1.08, 9.25, -0.04, -0.05, -0.03, 0.28, 0.71, 8.62, -0.07, -0.06, -0.01
2021-05-09 16:40:01.050308, 1620567601.050308, 2.64, 1.07, 9.32, -0.03, -0.05, -0.01, 0.21, 0.73, 8.65, -0.07, -0.04, -0.0
2021-05-09 16:40:01.159915, 1620567601.1599154, 2.58, 1.0, 9.33, -0.03, -0.04, -0.01, 0.16, 0.61, 8.66, -0.06, -0.03, 0.01
2021-05-09 16:40:01.269544, 1620567601.2695441, 2.53, 1.04, 9.29, -0.04, -0.05, -0.03, 0.12, 0.6, 8.66, -0.06, -0.05, -0.0
2021-05-09 16:40:01.379001, 1620567601.3790014, 2.51, 1.03, 9.32, -0.06, -0.09, -0.03, 0.11, 0.64, 8.67, -0.07, -0.09, -0.02
2021-05-09 16:40:01.488622, 1620567601.4886227, 2.59, 1.1, 9.32, -0.05, -0.08, -0.03, 0.16, 0.71, 8.67, -0.07, -0.09, -0.02
2021-05-09 16:40:01.598311, 1620567601.5983112, 2.61, 1.09, 9.31, -0.06, -0.08, -0.02, 0.18, 0.71, 8.65, -0.07, -0.08, -0.0
2021-05-09 16:40:01.707861, 1620567601.707861, 2.66, 1.01, 9.3, -0.06, -0.09, -0.01, 0.25, 0.65, 8.67, -0.08, -0.09, -0.01
2021-05-09 16:40:01.817699, 1620567601.8176997, 2.7, 0.96, 9.28, -0.06, -0.1, -0.01, 0.25, 0.65, 8.61, -0.07, -0.1, -0.01
2021-05-09 16:40:01.927040, 1620567601.9270408, 2.7, 1.01, 9.26, -0.05, -0.1, -0.02, 0.3, 0.67, 8.64, -0.07, -0.1, -0.01
