human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-17 17:32:36.478865,1621261956.478878,4.22,-0.37,8.36,-0.04,-0.07,-0.02,-1.05,0.02,8.14,-0.07,-0.07,-0.0
2021-05-17 17:32:36.588583,1621261956.5885959,4.42,-0.4,8.66,-0.04,-0.05,-0.03,-1.06,0.01,8.43,-0.07,-0.05,-0.01
2021-05-17 17:32:36.698553,1621261956.698566,4.36,-0.31,8.72,-0.02,-0.04,-0.01,-1.12,0.02,8.46,-0.07,-0.04,0.0
2021-05-17 17:32:36.807568,1621261956.807581,4.33,-0.36,8.77,-0.02,-0.06,0.0,-1.11,0.01,8.47,-0.07,-0.06,0.01
2021-05-17 17:32:36.917136,1621261956.9171488,4.32,-0.35,8.71,-0.02,-0.07,0.0,-1.12,0.0,8.44,-0.06,-0.06,0.02
2021-05-17 17:32:37.026834,1621261957.026846,4.34,-0.3,8.71,-0.03,-0.06,-0.01,-1.14,-0.02,8.47,-0.07,-0.06,0.0
2021-05-17 17:32:37.136527,1621261957.13654,4.37,-0.34,8.74,-0.03,-0.05,-0.02,-1.12,0.04,8.44,-0.07,-0.06,-0.01
2021-05-17 17:32:37.245924,1621261957.2459369,4.29,-0.3,8.8,-0.03,-0.06,-0.01,-1.15,0.04,8.46,-0.06,-0.06,0.0
2021-05-17 17:32:37.355464,1621261957.355476,4.3,-0.31,8.76,-0.03,-0.07,-0.01,-1.15,0.03,8.46,-0.06,-0.08,0.0
2021-05-17 17:32:37.465279,1621261957.465291,4.34,-0.29,8.75,-0.03,-0.07,-0.01,-1.13,0.02,8.48,-0.07,-0.07,-0.0
2021-05-17 17:32:37.575440,1621261957.5754519,4.36,-0.28,8.73,-0.03,-0.07,-0.02,-1.12,0.02,8.46,-0.06,-0.08,-0.01
2021-05-17 17:32:37.684409,1621261957.684423,4.36,-0.3,8.74,-0.04,-0.06,-0.02,-1.09,0.03,8.48,-0.07,-0.06,-0.01
2021-05-17 17:32:37.793794,1621261957.793807,4.33,-0.29,8.77,-0.03,-0.06,-0.01,-1.11,0.03,8.46,-0.07,-0.06,-0.0
2021-05-17 17:32:37.903577,1621261957.90359,4.34,-0.29,8.75,-0.03,-0.07,-0.01,-1.12,0.02,8.45,-0.07,-0.07,0.0
2021-05-17 17:32:38.013462,1621261958.0134761,4.33,-0.31,8.74,-0.04,-0.07,-0.01,-1.1,0.02,8.46,-0.07,-0.08,-0.0
2021-05-17 17:32:38.122836,1621261958.122848,4.31,-0.31,8.72,-0.04,-0.07,-0.02,-1.12,0.03,8.47,-0.07,-0.08,-0.01
2021-05-17 17:32:38.232410,1621261958.2324228,4.38,-0.3,8.72,-0.04,-0.06,-0.02,-1.09,0.03,8.46,-0.07,-0.05,-0.01
2021-05-17 17:32:38.342085,1621261958.342098,4.31,-0.31,8.76,-0.03,-0.05,-0.01,-1.1,0.01,8.47,-0.07,-0.04,-0.0
2021-05-17 17:32:38.451894,1621261958.4519098,4.29,-0.3,8.75,-0.03,-0.06,-0.01,-1.13,-0.01,8.47,-0.07,-0.06,-0.0
2021-05-17 17:32:38.561254,1621261958.561267,4.32,-0.31,8.74,-0.04,-0.06,-0.01,-1.15,0.01,8.46,-0.08,-0.06,-0.0
2021-05-17 17:32:38.671025,1621261958.671037,4.3,-0.35,8.79,-0.04,-0.06,-0.02,-1.13,-0.01,8.45,-0.08,-0.07,-0.0
2021-05-17 17:32:38.780565,1621261958.7805781,4.31,-0.29,8.74,-0.04,-0.06,-0.01,-1.12,-0.03,8.44,-0.08,-0.06,-0.0
2021-05-17 17:32:38.890177,1621261958.8901901,4.28,-0.33,8.77,-0.04,-0.06,-0.01,-1.15,-0.02,8.44,-0.08,-0.06,0.0
