human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-17 17:39:28.605170,1621262368.605183,4.47,-0.04,8.27,-0.01,-0.04,-0.0,-0.68,0.11,8.19,-0.07,-0.04,0.0
2021-05-17 17:39:28.714680,1621262368.7146938,4.62,-0.02,8.64,-0.04,-0.05,-0.03,-0.74,0.15,8.49,-0.07,-0.05,-0.02
2021-05-17 17:39:28.824095,1621262368.8241081,4.66,-0.02,8.6,-0.04,-0.05,-0.03,-0.78,0.14,8.51,-0.07,-0.04,-0.02
2021-05-17 17:39:28.933676,1621262368.933689,4.6,0.03,8.64,-0.04,-0.04,-0.03,-0.79,0.16,8.5,-0.06,-0.04,-0.01
2021-05-17 17:39:29.043333,1621262369.043346,4.57,0.02,8.68,-0.04,-0.05,-0.02,-0.83,0.18,8.51,-0.07,-0.05,-0.01
2021-05-17 17:39:29.152390,1621262369.1523998,4.57,0.03,8.6,-0.03,-0.04,-0.01,-0.85,0.13,8.5,-0.07,-0.06,-0.01
2021-05-17 17:39:29.262441,1621262369.262453,4.53,-0.05,8.69,-0.04,-0.04,-0.01,-0.81,0.15,8.49,-0.08,-0.05,-0.0
2021-05-17 17:39:29.371935,1621262369.371946,4.52,-0.05,8.68,-0.05,-0.05,-0.02,-0.84,0.12,8.51,-0.07,-0.06,-0.01
2021-05-17 17:39:29.481623,1621262369.481636,4.54,-0.03,8.67,-0.04,-0.06,-0.03,-0.82,0.14,8.47,-0.06,-0.05,-0.02
2021-05-17 17:39:29.591379,1621262369.591393,4.53,-0.04,8.7,-0.04,-0.05,-0.02,-0.87,0.14,8.49,-0.07,-0.06,-0.02
2021-05-17 17:39:29.700927,1621262369.7009401,4.48,-0.05,8.74,-0.05,-0.06,-0.03,-0.86,0.16,8.49,-0.07,-0.07,-0.02
2021-05-17 17:39:29.814822,1621262369.814838,4.51,-0.02,8.65,-0.05,-0.06,-0.02,-0.86,0.14,8.48,-0.07,-0.06,-0.01
2021-05-17 17:39:29.921014,1621262369.921036,4.48,-0.05,8.7,-0.05,-0.06,-0.02,-0.86,0.15,8.5,-0.08,-0.06,-0.0
2021-05-17 17:39:30.033131,1621262370.033159,4.48,-0.07,8.69,-0.04,-0.06,-0.02,-0.88,0.13,8.48,-0.07,-0.06,-0.0
2021-05-17 17:39:30.139308,1621262370.139319,4.47,-0.06,8.74,-0.04,-0.06,-0.02,-0.87,0.13,8.47,-0.07,-0.06,-0.0
2021-05-17 17:39:30.248675,1621262370.248684,4.48,-0.06,8.69,-0.03,-0.06,-0.02,-0.89,0.12,8.48,-0.07,-0.06,-0.0
2021-05-17 17:39:30.358020,1621262370.3580291,4.49,-0.05,8.7,-0.04,-0.06,-0.02,-0.89,0.13,8.48,-0.07,-0.06,-0.0
2021-05-17 17:39:30.473903,1621262370.4739141,4.5,-0.05,8.7,-0.03,-0.04,-0.01,-0.89,0.13,8.49,-0.07,-0.06,-0.01
2021-05-17 17:39:30.577552,1621262370.577566,4.45,-0.06,8.73,-0.02,-0.05,-0.01,-0.89,0.14,8.49,-0.07,-0.06,-0.01
2021-05-17 17:39:30.687560,1621262370.687572,4.45,-0.01,8.73,-0.04,-0.07,-0.01,-0.9,0.12,8.5,-0.07,-0.07,-0.0
2021-05-17 17:39:30.796393,1621262370.796403,4.46,-0.03,8.71,-0.04,-0.06,-0.0,-0.86,0.12,8.5,-0.08,-0.09,-0.01
2021-05-17 17:39:30.905881,1621262370.905889,4.47,-0.06,8.71,-0.03,-0.07,-0.02,-0.9,0.12,8.48,-0.08,-0.08,-0.0
2021-05-17 17:39:31.015666,1621262371.015676,4.5,-0.04,8.63,-0.03,-0.07,-0.03,-0.82,0.1,8.45,-0.07,-0.08,-0.01
