human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 15:12:57.118332,1621167177.1183321,1.92,0.47,9.09,-0.03,-0.07,-0.01,-2.73,0.79,7.7,-0.07,-0.06,-0.0
2021-05-16 15:12:57.227682,1621167177.2276824,1.94,0.47,9.49,-0.03,-0.07,-0.01,-2.84,0.81,8.04,-0.07,-0.08,0.01
2021-05-16 15:12:57.337032,1621167177.3370328,2.01,0.43,9.47,-0.03,-0.07,-0.02,-2.8,0.81,8.0,-0.06,-0.07,0.0
2021-05-16 15:12:57.434552,1621167177.4345524,2.03,0.49,9.46,-0.04,-0.07,-0.02,-2.8,0.82,8.01,-0.07,-0.07,-0.01
2021-05-16 15:12:57.557137,1621167177.557138,2.02,0.45,9.45,-0.04,-0.07,-0.01,-2.81,0.83,8.03,-0.07,-0.07,-0.01
2021-05-16 15:12:57.664951,1621167177.664951,2.05,0.46,9.45,-0.03,-0.06,-0.01,-2.79,0.83,8.02,-0.07,-0.06,-0.0
2021-05-16 15:12:57.775839,1621167177.7758396,2.02,0.46,9.49,-0.03,-0.07,-0.01,-2.79,0.82,8.04,-0.07,-0.06,0.0
2021-05-16 15:12:57.882305,1621167177.8823059,2.02,0.5,9.47,-0.03,-0.07,-0.01,-2.81,0.82,8.04,-0.07,-0.07,0.0
2021-05-16 15:12:57.991741,1621167177.9917414,2.05,0.46,9.46,-0.03,-0.08,-0.01,-2.79,0.82,8.02,-0.07,-0.07,-0.01
2021-05-16 15:12:58.099391,1621167178.099391,1.99,0.47,9.49,-0.04,-0.07,-0.02,-2.8,0.84,8.06,-0.07,-0.07,0.0
2021-05-16 15:12:58.208740,1621167178.2087407,2.07,0.49,9.46,-0.03,-0.07,-0.01,-2.78,0.84,8.03,-0.07,-0.07,-0.0
2021-05-16 15:12:58.317795,1621167178.3177955,2.04,0.47,9.45,-0.04,-0.06,-0.01,-2.8,0.84,8.02,-0.07,-0.06,0.0
2021-05-16 15:12:58.433730,1621167178.4337308,2.06,0.45,9.47,-0.04,-0.06,-0.01,-2.8,0.82,8.04,-0.07,-0.06,0.0
2021-05-16 15:12:58.531841,1621167178.5318418,2.07,0.46,9.45,-0.04,-0.07,-0.01,-2.78,0.85,8.03,-0.07,-0.06,-0.0
2021-05-16 15:12:58.654535,1621167178.6545355,2.02,0.46,9.46,-0.04,-0.07,-0.02,-2.79,0.82,8.05,-0.07,-0.08,-0.01
2021-05-16 15:12:58.750336,1621167178.7503364,2.08,0.47,9.43,-0.04,-0.07,-0.02,-2.76,0.82,8.04,-0.06,-0.08,-0.0
2021-05-16 15:12:58.869895,1621167178.8698957,2.09,0.47,9.45,-0.04,-0.07,-0.02,-2.74,0.83,8.03,-0.06,-0.07,-0.01
2021-05-16 15:12:58.967179,1621167178.9671798,2.07,0.45,9.48,-0.04,-0.07,-0.02,-2.75,0.85,8.07,-0.06,-0.08,-0.0
2021-05-16 15:12:59.090810,1621167179.0908105,2.09,0.47,9.45,-0.03,-0.07,-0.01,-2.74,0.86,8.06,-0.07,-0.08,0.0
2021-05-16 15:12:59.199114,1621167179.1991146,2.14,0.47,9.46,-0.03,-0.06,-0.01,-2.74,0.85,8.08,-0.06,-0.09,-0.0
2021-05-16 15:12:59.302272,1621167179.3022723,2.07,0.47,9.46,-0.02,-0.05,0.0,-2.66,0.86,8.07,-0.06,-0.07,0.0
2021-05-16 15:12:59.415026,1621167179.4150264,2.09,0.51,9.43,-0.02,-0.05,-0.02,-2.68,0.86,8.04,-0.06,-0.05,-0.0
2021-05-16 15:12:59.518409,1621167179.518409,2.07,0.56,9.46,-0.04,-0.05,-0.01,-2.72,0.88,8.08,-0.07,-0.05,0.0
2021-05-16 15:12:59.638599,1621167179.6385999,2.04,0.51,9.5,-0.04,-0.04,-0.01,-2.74,0.88,8.08,-0.08,-0.05,-0.0
2021-05-16 15:12:59.749128,1621167179.749128,2.04,0.48,9.48,-0.05,-0.05,-0.01,-2.71,0.84,8.05,-0.08,-0.07,-0.01
2021-05-16 15:12:59.858540,1621167179.8585408,1.98,0.44,9.49,-0.05,-0.06,-0.03,-2.74,0.85,8.08,-0.07,-0.06,-0.01
2021-05-16 15:12:59.967755,1621167179.9677558,2.03,0.47,9.46,-0.05,-0.07,-0.04,-2.71,0.85,8.04,-0.06,-0.07,-0.02
2021-05-16 15:13:00.077786,1621167180.077787,2.04,0.46,9.45,-0.05,-0.07,-0.04,-2.73,0.87,8.04,-0.06,-0.06,-0.04
