human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 15:33:18.734115,1621168398.7341156,1.39,0.31,9.18,-0.05,-0.05,-0.02,-2.28,0.83,7.88,-0.08,-0.06,-0.0
2021-05-16 15:33:18.845382,1621168398.8453825,1.45,0.3,9.52,-0.04,-0.06,-0.01,-2.38,0.82,8.14,-0.07,-0.07,-0.01
2021-05-16 15:33:18.953971,1621168398.9539716,1.46,0.34,9.54,-0.04,-0.06,-0.02,-2.37,0.86,8.17,-0.07,-0.06,-0.01
2021-05-16 15:33:19.064228,1621168399.064228,1.44,0.33,9.57,-0.03,-0.05,-0.01,-2.38,0.85,8.19,-0.07,-0.06,-0.0
2021-05-16 15:33:19.174083,1621168399.174084,1.44,0.33,9.56,-0.03,-0.05,-0.01,-2.39,0.85,8.16,-0.07,-0.06,0.0
2021-05-16 15:33:19.283682,1621168399.2836826,1.41,0.35,9.54,-0.04,-0.05,-0.01,-2.37,0.83,8.16,-0.06,-0.08,-0.0
2021-05-16 15:33:19.392535,1621168399.3925354,1.41,0.31,9.57,-0.05,-0.07,-0.02,-2.35,0.86,8.19,-0.07,-0.07,0.0
2021-05-16 15:33:19.502315,1621168399.5023153,1.43,0.3,9.52,-0.05,-0.06,-0.01,-2.34,0.86,8.15,-0.07,-0.06,-0.0
2021-05-16 15:33:19.612259,1621168399.6122594,1.43,0.25,9.53,-0.04,-0.06,-0.01,-2.35,0.87,8.16,-0.08,-0.05,-0.0
2021-05-16 15:33:19.721741,1621168399.7217412,1.41,0.26,9.56,-0.03,-0.07,-0.01,-2.38,0.86,8.2,-0.08,-0.06,-0.0
2021-05-16 15:33:19.831559,1621168399.8315594,1.45,0.28,9.53,-0.04,-0.06,-0.01,-2.37,0.83,8.17,-0.07,-0.06,-0.0
2021-05-16 15:33:19.941354,1621168399.941354,1.41,0.28,9.55,-0.03,-0.06,-0.02,-2.38,0.83,8.2,-0.07,-0.07,-0.0
2021-05-16 15:33:20.050107,1621168400.0501077,1.42,0.29,9.59,-0.03,-0.07,-0.02,-2.38,0.85,8.21,-0.07,-0.08,-0.01
2021-05-16 15:33:20.160438,1621168400.1604383,1.46,0.31,9.51,-0.03,-0.07,-0.02,-2.35,0.84,8.17,-0.07,-0.07,-0.01
2021-05-16 15:33:20.269416,1621168400.269416,1.45,0.31,9.56,-0.03,-0.06,-0.01,-2.38,0.82,8.17,-0.07,-0.07,-0.0
2021-05-16 15:33:20.379601,1621168400.3796017,1.43,0.31,9.55,-0.04,-0.06,-0.02,-2.36,0.83,8.19,-0.07,-0.07,-0.01
2021-05-16 15:33:20.488740,1621168400.488741,1.42,0.3,9.55,-0.04,-0.06,-0.02,-2.36,0.83,8.19,-0.07,-0.07,-0.01
2021-05-16 15:33:20.598845,1621168400.598845,1.44,0.31,9.54,-0.04,-0.06,-0.02,-2.33,0.86,8.18,-0.07,-0.07,-0.0
2021-05-16 15:33:20.708500,1621168400.7085001,1.46,0.32,9.56,-0.04,-0.08,-0.01,-2.33,0.86,8.19,-0.07,-0.08,-0.0
2021-05-16 15:33:20.817285,1621168400.8172855,1.48,0.29,9.54,-0.04,-0.07,-0.01,-2.31,0.84,8.17,-0.07,-0.07,-0.0
2021-05-16 15:33:20.927357,1621168400.9273572,1.48,0.27,9.56,-0.04,-0.06,-0.01,-2.3,0.84,8.2,-0.07,-0.07,0.0
2021-05-16 15:33:21.036723,1621168401.0367231,1.46,0.29,9.56,-0.04,-0.06,-0.02,-2.29,0.82,8.2,-0.07,-0.08,-0.0
2021-05-16 15:33:21.146681,1621168401.1466815,1.49,0.31,9.54,-0.04,-0.07,-0.02,-2.27,0.84,8.2,-0.07,-0.09,0.01
2021-05-16 15:33:21.255964,1621168401.2559648,1.49,0.27,9.52,-0.04,-0.07,-0.01,-2.25,0.83,8.2,-0.07,-0.07,0.01
2021-05-16 15:33:21.365669,1621168401.3656695,1.49,0.26,9.53,-0.04,-0.08,-0.01,-2.27,0.82,8.22,-0.07,-0.08,-0.01
2021-05-16 15:33:21.476163,1621168401.4761636,1.51,0.27,9.54,-0.04,-0.07,-0.01,-2.22,0.86,8.23,-0.06,-0.07,-0.0
2021-05-16 15:33:21.584327,1621168401.5843277,1.52,0.31,9.55,-0.03,-0.06,-0.01,-2.23,0.83,8.23,-0.07,-0.06,0.0
2021-05-16 15:33:21.694593,1621168401.6945932,1.51,0.28,9.53,-0.03,-0.07,-0.0,-2.26,0.83,8.23,-0.07,-0.06,0.0
2021-05-16 15:33:21.803871,1621168401.8038716,1.5,0.29,9.54,-0.04,-0.07,-0.0,-2.23,0.82,8.22,-0.07,-0.07,0.0
2021-05-16 15:33:21.913967,1621168401.9139671,1.51,0.29,9.52,-0.04,-0.07,-0.01,-2.24,0.84,8.22,-0.07,-0.07,-0.0
2021-05-16 15:33:22.023424,1621168402.0234241,1.52,0.26,9.49,-0.04,-0.07,-0.01,-2.22,0.82,8.18,-0.07,-0.07,-0.0
2021-05-16 15:33:22.132564,1621168402.1325643,1.53,0.28,9.52,-0.03,-0.06,-0.01,-2.22,0.84,8.23,-0.07,-0.06,-0.0
2021-05-16 15:33:22.242473,1621168402.242474,1.52,0.26,9.54,-0.04,-0.06,-0.01,-2.23,0.82,8.21,-0.07,-0.06,-0.0
2021-05-16 15:33:22.351693,1621168402.3516934,1.54,0.25,9.52,-0.04,-0.06,-0.01,-2.22,0.82,8.21,-0.07,-0.06,-0.0
2021-05-16 15:33:22.462009,1621168402.4620094,1.51,0.25,9.52,-0.04,-0.06,-0.01,-2.25,0.8,8.21,-0.07,-0.06,-0.0
2021-05-16 15:33:22.571412,1621168402.5714126,1.51,0.27,9.55,-0.04,-0.07,-0.02,-2.24,0.81,8.22,-0.07,-0.06,-0.01
2021-05-16 15:33:22.680804,1621168402.6808043,1.56,0.27,9.51,-0.03,-0.06,-0.01,-2.24,0.82,8.19,-0.07,-0.05,-0.01
