human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 14:59:36.649247,1621166376.6492476,1.91,0.36,9.08,-0.04,-0.07,-0.02,-2.28,-0.07,7.85,-0.07,-0.07,-0.01
2021-05-16 14:59:36.758570,1621166376.7585704,1.99,0.44,9.45,-0.03,-0.07,-0.02,-2.38,-0.06,8.17,-0.07,-0.06,-0.01
2021-05-16 14:59:36.881670,1621166376.8816705,2.0,0.43,9.47,-0.04,-0.06,-0.01,-2.4,-0.03,8.2,-0.07,-0.06,0.0
2021-05-16 14:59:36.985694,1621166376.985694,1.97,0.41,9.5,-0.04,-0.06,-0.02,-2.39,-0.06,8.22,-0.07,-0.07,0.01
2021-05-16 14:59:37.100435,1621166377.1004353,1.96,0.42,9.47,-0.04,-0.05,-0.01,-2.38,-0.07,8.2,-0.08,-0.07,-0.0
2021-05-16 14:59:37.205284,1621166377.2052846,1.96,0.41,9.47,-0.04,-0.06,-0.02,-2.4,-0.01,8.19,-0.07,-0.06,-0.01
2021-05-16 14:59:37.308048,1621166377.3080487,1.96,0.42,9.45,-0.04,-0.06,-0.01,-2.39,-0.04,8.18,-0.07,-0.05,-0.0
2021-05-16 14:59:37.423084,1621166377.4230845,1.97,0.42,9.49,-0.03,-0.06,-0.02,-2.42,-0.04,8.22,-0.07,-0.05,-0.01
2021-05-16 14:59:37.538732,1621166377.539695,1.96,0.42,9.5,-0.03,-0.06,-0.02,-2.44,-0.03,8.23,-0.07,-0.06,-0.01
2021-05-16 14:59:37.638445,1621166377.6384456,1.95,0.42,9.48,-0.03,-0.06,-0.01,-2.44,-0.06,8.19,-0.07,-0.06,-0.01
2021-05-16 14:59:37.758511,1621166377.758511,1.92,0.4,9.5,-0.04,-0.06,-0.02,-2.43,-0.09,8.2,-0.07,-0.07,-0.02
2021-05-16 14:59:37.855437,1621166377.855437,1.92,0.38,9.49,-0.04,-0.07,-0.03,-2.42,-0.08,8.17,-0.06,-0.09,-0.03
2021-05-16 14:59:37.974000,1621166377.9740005,1.98,0.41,9.44,-0.04,-0.08,-0.03,-2.38,-0.07,8.17,-0.07,-0.08,-0.02
2021-05-16 14:59:38.073001,1621166378.0730011,2.01,0.42,9.47,-0.04,-0.06,-0.02,-2.41,-0.07,8.19,-0.07,-0.06,0.0
2021-05-16 14:59:38.196672,1621166378.196672,1.99,0.41,9.48,-0.04,-0.06,-0.01,-2.4,-0.07,8.21,-0.08,-0.07,-0.0
2021-05-16 14:59:38.303936,1621166378.303936,1.98,0.39,9.49,-0.05,-0.06,-0.01,-2.39,-0.07,8.19,-0.08,-0.06,0.0
