human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 15:58:36.374658,1621169916.3746586,1.9,0.18,9.12,-0.03,-0.07,0.01,-2.92,0.88,7.65,-0.08,-0.07,0.02
2021-05-16 15:58:36.484253,1621169916.4842532,1.98,0.16,9.41,-0.03,-0.07,-0.0,-2.99,0.89,7.92,-0.08,-0.09,0.02
2021-05-16 15:58:36.593267,1621169916.5932674,2.0,0.15,9.47,-0.04,-0.08,0.0,-3.01,0.9,7.97,-0.08,-0.07,0.01
2021-05-16 15:58:36.703502,1621169916.703503,2.01,0.13,9.45,-0.04,-0.1,-0.01,-3.01,0.87,7.97,-0.06,-0.07,-0.01
2021-05-16 15:58:36.813153,1621169916.8131537,2.05,0.14,9.44,-0.05,-0.09,-0.03,-3.01,0.89,7.94,-0.06,-0.08,-0.01
2021-05-16 15:58:36.922801,1621169916.9228008,2.08,0.15,9.42,-0.05,-0.07,-0.03,-3.0,0.91,7.98,-0.06,-0.08,-0.02
2021-05-16 15:58:37.032309,1621169917.0323095,2.07,0.13,9.47,-0.04,-0.08,-0.02,-3.02,0.88,7.98,-0.07,-0.07,-0.02
2021-05-16 15:58:37.142084,1621169917.1420844,2.14,0.14,9.39,-0.03,-0.08,-0.01,-2.98,0.93,7.95,-0.06,-0.06,-0.01
2021-05-16 15:58:37.251468,1621169917.251468,2.12,0.18,9.45,-0.02,-0.06,-0.01,-3.04,0.91,7.99,-0.06,-0.05,-0.0
2021-05-16 15:58:37.361447,1621169917.3614476,2.06,0.17,9.43,-0.02,-0.05,-0.01,-3.02,0.91,7.96,-0.07,-0.05,0.01
2021-05-16 15:58:37.470539,1621169917.4705396,2.09,0.19,9.45,-0.03,-0.06,-0.0,-3.05,0.93,7.97,-0.07,-0.05,0.01
2021-05-16 15:58:37.580190,1621169917.58019,2.1,0.2,9.46,-0.03,-0.06,-0.02,-3.04,0.92,7.97,-0.06,-0.06,0.01
2021-05-16 15:58:37.689607,1621169917.6896071,2.08,0.22,9.47,-0.03,-0.07,-0.02,-3.06,0.93,8.0,-0.06,-0.08,0.0
