human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 14:38:43.216684,1621165123.216684,2.07,0.31,9.09,-0.04,-0.07,-0.01,-2.24,-0.14,7.97,-0.07,-0.08,0.01
2021-05-16 14:38:43.328906,1621165123.3289065,2.16,0.31,9.42,-0.04,-0.06,-0.03,-2.31,-0.13,8.25,-0.07,-0.08,0.0
2021-05-16 14:38:43.445012,1621165123.4450123,2.16,0.31,9.43,-0.05,-0.07,-0.03,-2.32,-0.14,8.27,-0.06,-0.08,-0.01
2021-05-16 14:38:43.546055,1621165123.5460548,2.16,0.31,9.43,-0.04,-0.07,-0.03,-2.3,-0.12,8.27,-0.06,-0.08,-0.01
2021-05-16 14:38:43.661380,1621165123.66138,2.17,0.3,9.45,-0.04,-0.07,-0.03,-2.31,-0.11,8.28,-0.06,-0.08,-0.02
2021-05-16 14:38:43.777055,1621165123.777055,2.16,0.31,9.43,-0.04,-0.06,-0.02,-2.28,-0.11,8.28,-0.07,-0.07,-0.01
2021-05-16 14:38:43.878520,1621165123.8785207,2.22,0.3,9.4,-0.03,-0.07,-0.02,-2.27,-0.11,8.26,-0.07,-0.07,-0.01
2021-05-16 14:38:43.994604,1621165123.9946043,2.22,0.32,9.41,-0.04,-0.06,-0.02,-2.26,-0.11,8.3,-0.06,-0.06,-0.0
2021-05-16 14:38:44.096285,1621165124.096285,2.18,0.3,9.44,-0.04,-0.05,-0.02,-2.26,-0.11,8.28,-0.07,-0.05,-0.01
2021-05-16 14:38:44.211205,1621165124.211205,2.15,0.28,9.45,-0.03,-0.05,-0.04,-2.28,-0.12,8.29,-0.06,-0.06,-0.0
2021-05-16 14:38:44.312770,1621165124.3127704,2.15,0.31,9.45,-0.04,-0.06,-0.02,-2.3,-0.11,8.28,-0.06,-0.06,-0.01
2021-05-16 14:38:44.427870,1621165124.4278705,2.15,0.32,9.45,-0.04,-0.05,-0.02,-2.31,-0.09,8.3,-0.06,-0.08,0.01
2021-05-16 14:38:44.545084,1621165124.5450847,2.15,0.29,9.44,-0.04,-0.06,-0.01,-2.25,-0.1,8.28,-0.07,-0.08,0.01
2021-05-16 14:38:44.644545,1621165124.6445458,2.14,0.27,9.46,-0.05,-0.07,-0.01,-2.28,-0.1,8.29,-0.07,-0.08,0.03
2021-05-16 14:38:44.761175,1621165124.7611754,2.13,0.26,9.43,-0.04,-0.07,-0.01,-2.24,-0.1,8.3,-0.06,-0.08,0.01
2021-05-16 14:38:44.863941,1621165124.8639412,2.16,0.24,9.44,-0.04,-0.08,-0.02,-2.23,-0.07,8.27,-0.06,-0.08,-0.01
2021-05-16 14:38:44.978546,1621165124.9785461,2.18,0.28,9.41,-0.04,-0.08,-0.02,-2.25,-0.07,8.28,-0.06,-0.07,-0.0
2021-05-16 14:38:45.079386,1621165125.0793865,2.21,0.28,9.42,-0.03,-0.07,-0.02,-2.23,-0.05,8.28,-0.07,-0.07,-0.01
2021-05-16 14:38:45.194542,1621165125.1945422,2.22,0.32,9.42,-0.03,-0.06,-0.02,-2.25,-0.04,8.28,-0.06,-0.05,-0.0
2021-05-16 14:38:45.311556,1621165125.3115566,2.18,0.33,9.45,-0.02,-0.06,-0.0,-2.26,-0.03,8.32,-0.07,-0.05,0.01
2021-05-16 14:38:45.422846,1621165125.4228468,2.17,0.32,9.45,-0.02,-0.06,-0.01,-2.25,-0.01,8.28,-0.07,-0.07,0.0
2021-05-16 14:38:45.529080,1621165125.5290804,2.2,0.35,9.43,-0.03,-0.07,-0.04,-2.24,-0.05,8.29,-0.06,-0.08,-0.0
2021-05-16 14:38:45.627746,1621165125.6277463,2.19,0.37,9.45,-0.04,-0.08,-0.03,-2.21,-0.04,8.31,-0.06,-0.08,-0.01
2021-05-16 14:38:45.744489,1621165125.7444894,2.26,0.38,9.39,-0.03,-0.07,-0.02,-2.21,0.02,8.26,-0.07,-0.06,-0.02
2021-05-16 14:38:45.861249,1621165125.8612497,2.2,0.38,9.42,-0.03,-0.05,-0.0,-2.24,-0.05,8.29,-0.07,-0.05,0.01
