human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:18:24.333096, 1620566304.3330967, 2.95, 0.92, 8.81, -0.02, -0.06, -0.02, -0.4, 0.47, 8.32, -0.05, -0.06, -0.0
2021-05-09 16:18:24.442627, 1620566304.4426277, 3.04, 0.95, 9.14, -0.03, -0.06, -0.01, -0.4, 0.48, 8.63, -0.05, -0.06, 0.0
2021-05-09 16:18:24.552242, 1620566304.552243, 3.06, 0.95, 9.14, -0.03, -0.05, -0.02, -0.4, 0.48, 8.59, -0.06, -0.06, -0.01
2021-05-09 16:18:24.661707, 1620566304.6617079, 3.02, 0.96, 9.18, -0.03, -0.05, -0.02, -0.41, 0.49, 8.61, -0.06, -0.06, -0.0
2021-05-09 16:18:24.771494, 1620566304.7714942, 3.0, 0.97, 9.2, -0.04, -0.05, -0.01, -0.43, 0.47, 8.63, -0.07, -0.07, -0.0
2021-05-09 16:18:24.881018, 1620566304.8810186, 3.04, 0.96, 9.19, -0.05, -0.06, 0.0, -0.43, 0.49, 8.65, -0.08, -0.07, 0.01
2021-05-09 16:18:24.990584, 1620566304.9905841, 2.96, 0.93, 9.23, -0.04, -0.07, 0.01, -0.41, 0.47, 8.66, -0.08, -0.07, 0.02
2021-05-09 16:18:25.100163, 1620566305.1001637, 3.02, 0.89, 9.18, -0.04, -0.09, 0.0, -0.4, 0.42, 8.62, -0.07, -0.08, 0.02
2021-05-09 16:18:25.209737, 1620566305.2097378, 3.06, 0.9, 9.15, -0.04, -0.09, -0.02, -0.41, 0.45, 8.62, -0.06, -0.07, 0.0
2021-05-09 16:18:25.318908, 1620566305.3189087, 3.08, 0.9, 9.17, -0.02, -0.07, -0.01, -0.38, 0.44, 8.65, -0.06, -0.08, 0.01
2021-05-09 16:18:25.428744, 1620566305.4287438, 3.1, 0.9, 9.16, -0.02, -0.06, -0.01, -0.34, 0.44, 8.64, -0.04, -0.08, 0.01
2021-05-09 16:18:25.538043, 1620566305.5380435, 3.1, 1.0, 9.14, -0.02, -0.05, -0.01, -0.32, 0.5, 8.66, -0.05, -0.06, 0.01
2021-05-09 16:18:25.648078, 1620566305.648078, 3.0, 0.95, 9.25, -0.04, -0.08, -0.02, -0.43, 0.45, 8.71, -0.06, -0.1, -0.0
2021-05-09 16:18:25.757532, 1620566305.7575321, 3.19, 0.96, 9.08, -0.06, -0.1, -0.04, -0.27, 0.5, 8.6, -0.06, -0.09, -0.03
2021-05-09 16:18:25.867254, 1620566305.8672543, 3.23, 0.95, 9.1, -0.05, -0.07, -0.03, -0.25, 0.51, 8.63, -0.06, -0.06, -0.02
2021-05-09 16:18:25.976623, 1620566305.9766233, 3.18, 0.97, 9.12, -0.04, -0.05, -0.02, -0.3, 0.55, 8.63, -0.06, -0.05, -0.02
2021-05-09 16:18:26.086271, 1620566306.0862715, 3.14, 0.92, 9.2, -0.02, -0.08, -0.05, -0.31, 0.54, 8.69, -0.02, -0.1, -0.03
2021-05-09 16:18:26.195768, 1620566306.1957686, 3.17, 1.04, 9.14, -0.03, -0.07, -0.04, -0.29, 0.56, 8.62, -0.04, -0.07, -0.02
2021-05-09 16:18:26.305636, 1620566306.3056364, 3.22, 1.06, 9.1, -0.02, -0.08, -0.01, -0.29, 0.61, 8.61, -0.03, -0.07, -0.01
2021-05-09 16:18:26.415368, 1620566306.415368, 3.12, 1.03, 9.17, -0.03, -0.09, -0.01, -0.31, 0.59, 8.69, -0.05, -0.1, -0.0
2021-05-09 16:18:26.525290, 1620566306.525291, 3.18, 1.03, 9.11, -0.04, -0.11, -0.02, -0.25, 0.59, 8.65, -0.05, -0.11, -0.01
2021-05-09 16:18:26.634487, 1620566306.6344876, 3.28, 1.02, 9.06, -0.04, -0.08, -0.02, -0.18, 0.64, 8.61, -0.05, -0.08, -0.01
2021-05-09 16:18:26.744070, 1620566306.74407, 3.28, 1.05, 9.11, -0.04, -0.07, -0.02, -0.2, 0.64, 8.65, -0.06, -0.07, -0.0
2021-05-09 16:18:26.853245, 1620566306.8532457, 3.27, 1.05, 9.08, -0.04, -0.08, -0.0, -0.23, 0.66, 8.66, -0.07, -0.08, 0.01
2021-05-09 16:18:26.962280, 1620566306.9622803, 3.31, 1.01, 9.08, -0.05, -0.06, -0.0, -0.2, 0.59, 8.64, -0.08, -0.06, 0.01
2021-05-09 16:18:27.072828, 1620566307.072829, 3.26, 1.0, 9.13, -0.05, -0.05, -0.0, -0.2, 0.6, 8.67, -0.08, -0.06, 0.01
2021-05-09 16:18:27.182410, 1620566307.1824107, 3.26, 0.97, 9.12, -0.05, -0.06, -0.01, -0.2, 0.57, 8.68, -0.08, -0.08, -0.0
2021-05-09 16:18:27.291618, 1620566307.2916186, 3.3, 0.95, 9.09, -0.05, -0.06, -0.02, -0.15, 0.56, 8.63, -0.08, -0.08, -0.01
2021-05-09 16:18:27.401414, 1620566307.4014149, 3.29, 0.95, 9.12, -0.05, -0.06, -0.02, -0.16, 0.54, 8.65, -0.07, -0.07, -0.01
2021-05-09 16:18:27.510576, 1620566307.5105765, 3.29, 0.93, 9.11, -0.05, -0.07, -0.02, -0.16, 0.54, 8.64, -0.07, -0.08, -0.01
2021-05-09 16:18:27.620496, 1620566307.620497, 3.3, 0.91, 9.1, -0.04, -0.07, -0.02, -0.15, 0.54, 8.66, -0.06, -0.07, -0.01
2021-05-09 16:18:27.730312, 1620566307.730312, 3.28, 0.95, 9.11, -0.04, -0.06, -0.02, -0.13, 0.54, 8.67, -0.06, -0.06, -0.01
2021-05-09 16:18:27.839640, 1620566307.8396406, 3.3, 0.97, 9.09, -0.03, -0.07, -0.01, -0.15, 0.58, 8.64, -0.05, -0.07, -0.0
2021-05-09 16:18:27.949451, 1620566307.9494517, 3.34, 0.96, 9.11, -0.03, -0.07, -0.0, -0.13, 0.56, 8.65, -0.06, -0.06, 0.02
2021-05-09 16:18:28.058243, 1620566308.0582438, 3.34, 0.99, 9.11, -0.04, -0.07, -0.01, -0.15, 0.58, 8.65, -0.07, -0.05, 0.02
2021-05-09 16:18:28.168469, 1620566308.1684697, 3.35, 0.99, 9.08, -0.04, -0.07, 0.0, -0.17, 0.57, 8.63, -0.07, -0.06, 0.01
