human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:29:15.068698, 1620566955.0686984, 2.75, 0.79, 8.95, -0.01, -0.02, -0.06, -0.05, 0.48, 8.38, -0.03, -0.04, -0.04
2021-05-09 16:29:15.178378, 1620566955.178379, 2.77, 0.91, 9.31, 0.06, 0.04, 0.01, -0.09, 0.64, 8.64, -0.0, -0.01, 0.01
2021-05-09 16:29:15.287957, 1620566955.287957, 2.73, 0.9, 9.29, 0.04, -0.05, 0.01, -0.12, 0.44, 8.62, -0.02, -0.07, 0.04
2021-05-09 16:29:15.397476, 1620566955.3974764, 2.78, 0.94, 9.3, -0.04, -0.1, -0.02, -0.06, 0.49, 8.68, -0.05, -0.09, -0.01
2021-05-09 16:29:15.507268, 1620566955.5072682, 2.8, 0.93, 9.29, -0.05, -0.1, -0.02, -0.07, 0.57, 8.66, -0.06, -0.1, -0.01
2021-05-09 16:29:15.616830, 1620566955.6168303, 2.86, 0.91, 9.23, -0.04, -0.1, -0.02, -0.0, 0.52, 8.65, -0.06, -0.1, 0.0
2021-05-09 16:29:15.726339, 1620566955.726339, 2.83, 0.93, 9.24, -0.04, -0.08, -0.01, -0.01, 0.55, 8.66, -0.06, -0.09, -0.0
2021-05-09 16:29:15.835620, 1620566955.8356209, 2.9, 0.95, 9.2, -0.04, -0.09, -0.01, 0.0, 0.59, 8.61, -0.06, -0.09, -0.0
2021-05-09 16:29:15.945352, 1620566955.9453518, 2.94, 0.93, 9.24, -0.03, -0.08, -0.0, 0.07, 0.58, 8.64, -0.06, -0.09, 0.01
2021-05-09 16:29:16.054667, 1620566956.054667, 2.95, 0.91, 9.19, -0.04, -0.08, -0.01, 0.13, 0.57, 8.62, -0.07, -0.09, 0.01
2021-05-09 16:29:16.164717, 1620566956.164717, 3.04, 0.86, 9.24, -0.04, -0.07, 0.01, 0.12, 0.52, 8.72, -0.07, -0.08, 0.02
2021-05-09 16:29:16.273830, 1620566956.273831, 2.96, 0.9, 9.19, -0.03, -0.05, -0.01, 0.14, 0.55, 8.62, -0.05, -0.08, 0.01
2021-05-09 16:29:16.383636, 1620566956.3836367, 2.93, 0.9, 9.22, -0.04, -0.06, -0.02, 0.13, 0.51, 8.66, -0.06, -0.07, -0.01
2021-05-09 16:29:16.493097, 1620566956.4930973, 2.99, 0.89, 9.18, -0.04, -0.06, -0.02, 0.17, 0.56, 8.61, -0.07, -0.07, -0.01
2021-05-09 16:29:16.602769, 1620566956.6027694, 2.94, 0.88, 9.22, -0.03, -0.05, -0.03, 0.14, 0.54, 8.65, -0.06, -0.05, -0.0
2021-05-09 16:29:16.712242, 1620566956.7122428, 2.88, 0.86, 9.27, -0.06, -0.08, -0.03, 0.11, 0.45, 8.68, -0.08, -0.08, -0.06
2021-05-09 16:29:16.821597, 1620566956.821597, 3.08, 0.83, 9.17, -0.08, -0.09, -0.12, 0.2, 0.48, 8.63, -0.08, -0.07, -0.12
2021-05-09 16:29:16.931500, 1620566956.931501, 2.92, 0.87, 9.23, -0.07, -0.04, -0.08, 0.08, 0.63, 8.67, -0.07, -0.04, -0.06
2021-05-09 16:29:17.041226, 1620566957.0412264, 2.95, 0.86, 9.26, -0.04, -0.05, 0.0, 0.09, 0.57, 8.66, -0.05, -0.05, 0.04
2021-05-09 16:29:17.149969, 1620566957.1499696, 2.96, 0.79, 9.22, -0.02, 0.02, 0.01, 0.12, 0.53, 8.63, -0.03, -0.01, 0.05
2021-05-09 16:29:17.260362, 1620566957.2603624, 2.79, 0.68, 9.22, -0.14, 0.07, -0.08, -0.05, 0.12, 8.63, -0.05, -0.04, -0.15
2021-05-09 16:29:17.369841, 1620566957.369841, 2.61, 0.9, 9.31, -0.14, 0.0, -0.07, -0.12, 0.79, 8.62, -0.08, -0.07, -0.13
2021-05-09 16:29:17.479614, 1620566957.4796147, 2.63, 0.58, 9.32, -0.08, -0.04, -0.04, -0.03, 0.55, 8.64, -0.08, -0.07, -0.06
2021-05-09 16:29:17.588881, 1620566957.5888813, 2.63, 0.54, 9.28, -0.04, -0.04, -0.04, -0.02, 0.5, 8.58, -0.05, -0.05, -0.02
2021-05-09 16:29:17.698742, 1620566957.6987429, 2.6, 0.67, 9.3, -0.02, -0.06, -0.0, -0.08, 0.59, 8.64, -0.05, -0.04, -0.0
2021-05-09 16:29:17.808229, 1620566957.8082292, 2.64, 0.57, 9.31, 0.0, -0.08, -0.04, -0.09, 0.52, 8.63, -0.03, -0.04, -0.01
2021-05-09 16:29:17.917823, 1620566957.9178236, 2.56, 0.78, 9.31, -0.01, -0.04, -0.02, -0.14, 0.67, 8.63, -0.05, -0.04, 0.01
2021-05-09 16:29:18.027198, 1620566958.027199, 2.53, 0.77, 9.33, -0.0, -0.05, 0.05, -0.2, 0.68, 8.64, -0.07, -0.05, 0.07
2021-05-09 16:29:18.136817, 1620566958.136818, 2.52, 0.76, 9.35, -0.0, -0.08, 0.07, -0.17, 0.56, 8.63, -0.07, -0.09, 0.1
2021-05-09 16:29:18.246651, 1620566958.246651, 2.63, 0.77, 9.36, -0.02, -0.1, 0.05, -0.1, 0.51, 8.68, -0.09, -0.08, 0.04
2021-05-09 16:29:18.355314, 1620566958.3553143, 2.66, 0.62, 9.34, -0.07, -0.09, -0.03, -0.04, 0.49, 8.68, -0.1, -0.08, -0.04
2021-05-09 16:29:18.465613, 1620566958.4656131, 2.65, 0.67, 9.33, -0.08, -0.11, -0.03, -0.12, 0.43, 8.67, -0.11, -0.09, -0.04
2021-05-09 16:29:18.574532, 1620566958.5755322, 2.76, 0.6, 9.3, -0.05, -0.06, -0.01, -0.04, 0.45, 8.62, -0.08, -0.09, 0.0
2021-05-09 16:29:18.684655, 1620566958.684656, 2.75, 0.59, 9.3, -0.04, -0.06, -0.01, 0.02, 0.36, 8.64, -0.06, -0.07, -0.0
2021-05-09 16:29:18.794500, 1620566958.7945006, 2.72, 0.54, 9.3, -0.03, -0.07, -0.04, -0.0, 0.38, 8.67, -0.06, -0.07, -0.01
