human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:21:59.528319, 1620566519.5283196, 2.92, 0.84, 8.81, -0.02, -0.03, -0.06, -0.36, 0.5, 8.28, -0.04, -0.04, -0.03
2021-05-09 16:21:59.636997, 1620566519.6379943, 2.92, 1.05, 9.27, 0.05, 0.0, -0.02, -0.38, 0.65, 8.65, -0.03, -0.0, 0.02
2021-05-09 16:21:59.747337, 1620566519.747338, 2.96, 1.01, 9.15, -0.02, -0.05, 0.01, -0.43, 0.45, 8.57, -0.07, -0.06, 0.02
2021-05-09 16:21:59.856652, 1620566519.856652, 2.99, 0.91, 9.19, -0.04, -0.04, -0.02, -0.37, 0.5, 8.6, -0.07, -0.06, -0.01
2021-05-09 16:21:59.966052, 1620566519.966052, 2.81, 0.93, 9.28, -0.03, -0.03, 0.0, -0.45, 0.45, 8.67, -0.07, -0.05, 0.02
2021-05-09 16:22:00.076004, 1620566520.076005, 2.93, 0.9, 9.16, -0.04, -0.02, -0.04, -0.44, 0.41, 8.54, -0.06, -0.03, -0.02
2021-05-09 16:22:00.185875, 1620566520.1858757, 2.75, 0.94, 9.33, -0.06, -0.04, -0.06, -0.52, 0.4, 8.67, -0.07, -0.05, -0.05
2021-05-09 16:22:00.295393, 1620566520.2953935, 2.76, 0.93, 9.29, -0.05, -0.07, -0.03, -0.52, 0.45, 8.64, -0.07, -0.06, -0.03
2021-05-09 16:22:00.404475, 1620566520.4044755, 2.88, 0.91, 9.22, -0.04, -0.06, -0.02, -0.45, 0.45, 8.59, -0.07, -0.06, -0.01
2021-05-09 16:22:00.514427, 1620566520.5144274, 2.84, 0.98, 9.23, -0.04, -0.04, 0.01, -0.51, 0.48, 8.61, -0.08, -0.04, 0.02
2021-05-09 16:22:00.623828, 1620566520.6238286, 2.8, 0.91, 9.23, -0.02, -0.02, 0.04, -0.57, 0.36, 8.59, -0.09, -0.02, 0.06
2021-05-09 16:22:00.733412, 1620566520.7334125, 2.76, 0.8, 9.33, -0.04, -0.03, 0.02, -0.55, 0.26, 8.66, -0.08, -0.03, 0.03
2021-05-09 16:22:00.842997, 1620566520.842998, 2.75, 0.97, 9.3, -0.07, -0.11, -0.01, -0.56, 0.41, 8.64, -0.1, -0.07, -0.02
2021-05-09 16:22:00.952961, 1620566520.9529612, 2.81, 0.75, 9.29, -0.05, -0.09, -0.02, -0.55, 0.31, 8.65, -0.08, -0.1, -0.0
2021-05-09 16:22:01.061978, 1620566521.061978, 2.87, 0.85, 9.28, -0.05, -0.09, -0.02, -0.51, 0.32, 8.64, -0.06, -0.09, -0.01
2021-05-09 16:22:01.171512, 1620566521.1715121, 2.93, 0.87, 9.24, -0.04, -0.09, -0.0, -0.47, 0.38, 8.61, -0.06, -0.08, 0.01
2021-05-09 16:22:01.280769, 1620566521.280769, 2.96, 0.84, 9.22, 0.02, -0.12, 0.03, -0.41, 0.41, 8.61, -0.03, -0.11, 0.04
2021-05-09 16:22:01.391104, 1620566521.3911042, 2.92, 0.95, 9.19, -0.03, -0.05, 0.03, -0.49, 0.33, 8.59, -0.08, -0.05, 0.03
2021-05-09 16:22:01.500627, 1620566521.5006273, 2.88, 0.83, 9.23, -0.05, -0.05, 0.01, -0.47, 0.34, 8.63, -0.07, -0.08, 0.01
2021-05-09 16:22:01.610517, 1620566521.6105175, 2.92, 0.81, 9.22, -0.05, -0.06, -0.01, -0.44, 0.29, 8.61, -0.08, -0.08, -0.01
2021-05-09 16:22:01.719825, 1620566521.719826, 2.89, 0.83, 9.2, -0.05, -0.06, -0.03, -0.46, 0.33, 8.6, -0.07, -0.06, -0.01
2021-05-09 16:22:01.829566, 1620566521.8295667, 2.87, 0.83, 9.26, -0.04, -0.06, -0.03, -0.46, 0.33, 8.63, -0.06, -0.06, -0.01
2021-05-09 16:22:01.938955, 1620566521.9389558, 2.86, 0.83, 9.26, -0.04, -0.05, -0.02, -0.48, 0.31, 8.64, -0.06, -0.06, -0.01
2021-05-09 16:22:02.048933, 1620566522.048933, 2.9, 0.88, 9.21, -0.03, -0.06, -0.01, -0.45, 0.37, 8.61, -0.06, -0.07, 0.01
2021-05-09 16:22:02.158087, 1620566522.1580873, 2.9, 0.86, 9.22, -0.02, -0.07, 0.02, -0.42, 0.32, 8.63, -0.05, -0.07, 0.03
