human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:27:29.956579, 1620566849.9565794, 2.5, 0.87, 9.0, -0.01, -0.06, -0.01, -0.21, 0.61, 8.36, -0.03, -0.06, 0.02
2021-05-09 16:27:30.066131, 1620566850.0661318, 2.79, 0.83, 9.25, -0.03, -0.11, 0.02, -0.12, 0.57, 8.58, -0.05, -0.1, 0.04
2021-05-09 16:27:30.175662, 1620566850.175662, 2.82, 0.85, 9.23, -0.04, -0.08, -0.01, -0.11, 0.62, 8.59, -0.06, -0.08, -0.0
2021-05-09 16:27:30.285130, 1620566850.2851305, 2.75, 0.91, 9.29, -0.03, -0.06, 0.0, -0.19, 0.72, 8.63, -0.06, -0.05, 0.01
2021-05-09 16:27:30.394758, 1620566850.394759, 2.75, 0.88, 9.32, -0.03, -0.06, 0.02, -0.2, 0.67, 8.64, -0.07, -0.06, 0.03
2021-05-09 16:27:30.504191, 1620566850.504192, 2.78, 0.87, 9.27, -0.02, -0.07, 0.03, -0.17, 0.65, 8.61, -0.07, -0.06, 0.04
2021-05-09 16:27:30.613823, 1620566850.6138234, 2.78, 0.84, 9.28, -0.02, -0.04, 0.01, -0.19, 0.63, 8.64, -0.07, -0.05, 0.02
2021-05-09 16:27:30.723539, 1620566850.7235398, 2.74, 0.89, 9.31, -0.03, -0.06, -0.0, -0.19, 0.64, 8.65, -0.07, -0.07, 0.01
2021-05-09 16:27:30.833182, 1620566850.8331826, 2.79, 0.88, 9.27, -0.04, -0.07, 0.0, -0.15, 0.65, 8.6, -0.07, -0.08, 0.01
2021-05-09 16:27:30.942724, 1620566850.942724, 2.75, 0.88, 9.29, -0.04, -0.05, 0.0, -0.17, 0.67, 8.65, -0.07, -0.06, 0.01
2021-05-09 16:27:31.052296, 1620566851.052296, 2.75, 0.88, 9.25, -0.04, -0.05, -0.0, -0.2, 0.63, 8.62, -0.08, -0.06, 0.0
2021-05-09 16:27:31.161572, 1620566851.1615727, 2.67, 0.86, 9.33, -0.05, -0.04, 0.0, -0.21, 0.62, 8.64, -0.08, -0.06, 0.01
2021-05-09 16:27:31.271365, 1620566851.2713654, 2.69, 0.85, 9.31, -0.04, -0.06, -0.01, -0.18, 0.6, 8.63, -0.07, -0.07, -0.0
2021-05-09 16:27:31.381208, 1620566851.3812082, 2.72, 0.83, 9.27, -0.04, -0.05, -0.01, -0.21, 0.62, 8.6, -0.07, -0.06, -0.0
2021-05-09 16:27:31.490624, 1620566851.4906242, 2.7, 0.82, 9.3, -0.03, -0.05, -0.01, -0.21, 0.59, 8.62, -0.06, -0.06, 0.0
2021-05-09 16:27:31.600208, 1620566851.600208, 2.64, 0.84, 9.33, -0.03, -0.04, -0.01, -0.24, 0.61, 8.65, -0.06, -0.04, 0.0
2021-05-09 16:27:31.709810, 1620566851.709811, 2.61, 0.85, 9.31, -0.03, -0.06, -0.01, -0.26, 0.61, 8.62, -0.05, -0.06, -0.0
2021-05-09 16:27:31.819346, 1620566851.8193467, 2.63, 0.86, 9.33, -0.03, -0.07, -0.0, -0.26, 0.61, 8.66, -0.06, -0.07, 0.01
2021-05-09 16:27:31.928919, 1620566851.9289196, 2.66, 0.9, 9.32, -0.03, -0.08, -0.0, -0.25, 0.64, 8.63, -0.06, -0.07, 0.01
2021-05-09 16:27:32.038741, 1620566852.0387414, 2.72, 0.86, 9.26, -0.03, -0.07, 0.01, -0.19, 0.63, 8.59, -0.07, -0.07, 0.02
2021-05-09 16:27:32.148233, 1620566852.1482334, 2.68, 0.86, 9.31, -0.03, -0.06, 0.01, -0.23, 0.58, 8.64, -0.07, -0.06, 0.02
2021-05-09 16:27:32.257701, 1620566852.2577014, 2.68, 0.86, 9.27, -0.03, -0.06, -0.01, -0.24, 0.64, 8.62, -0.06, -0.05, 0.01
2021-05-09 16:27:32.367418, 1620566852.3674188, 2.67, 0.88, 9.32, -0.03, -0.05, -0.02, -0.25, 0.6, 8.65, -0.06, -0.06, 0.0
2021-05-09 16:27:32.476314, 1620566852.4773133, 2.63, 0.9, 9.31, -0.03, -0.04, -0.01, -0.28, 0.65, 8.62, -0.06, -0.06, 0.0
2021-05-09 16:27:32.586719, 1620566852.5867195, 2.59, 0.9, 9.33, -0.03, -0.06, -0.01, -0.3, 0.63, 8.63, -0.06, -0.07, 0.01
