human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:32:29.536972, 1620567149.5369725, 3.13, 0.93, 8.75, -0.01, -0.02, -0.02, 0.28, 0.59, 8.31, -0.04, -0.04, 0.0
2021-05-09 16:32:29.646413, 1620567149.646413, 3.2, 0.93, 9.12, -0.02, -0.01, -0.01, 0.17, 0.64, 8.62, -0.06, -0.04, 0.01
2021-05-09 16:32:29.756156, 1620567149.756157, 3.11, 1.09, 9.12, 0.02, -0.06, 0.01, 0.12, 0.65, 8.57, -0.06, -0.01, 0.01
2021-05-09 16:32:29.865745, 1620567149.865745, 3.18, 0.95, 9.17, -0.0, -0.03, 0.0, 0.08, 0.51, 8.68, -0.06, -0.02, 0.03
2021-05-09 16:32:29.975148, 1620567149.975148, 3.12, 0.95, 9.21, -0.05, -0.02, -0.05, 0.05, 0.57, 8.68, -0.07, -0.04, -0.02
2021-05-09 16:32:30.085060, 1620567150.0850604, 3.08, 0.99, 9.18, -0.04, -0.02, -0.03, 0.05, 0.62, 8.63, -0.06, -0.05, -0.01
2021-05-09 16:32:30.194706, 1620567150.1947062, 3.0, 1.0, 9.23, -0.04, -0.06, -0.02, 0.01, 0.6, 8.66, -0.06, -0.06, -0.0
2021-05-09 16:32:30.304046, 1620567150.3040462, 3.01, 0.97, 9.21, -0.05, -0.06, -0.03, 0.02, 0.57, 8.66, -0.07, -0.07, -0.01
2021-05-09 16:32:30.413745, 1620567150.4137454, 3.06, 1.01, 9.16, -0.03, -0.07, -0.03, 0.04, 0.59, 8.65, -0.05, -0.07, -0.0
2021-05-09 16:32:30.523370, 1620567150.5233705, 3.09, 0.99, 9.23, -0.04, -0.13, -0.0, 0.15, 0.6, 8.68, -0.05, -0.08, -0.0
2021-05-09 16:32:30.631780, 1620567150.6317801, 3.1, 1.06, 9.15, -0.03, -0.05, -0.0, 0.0, 0.65, 8.64, -0.06, -0.05, 0.01
2021-05-09 16:32:30.742365, 1620567150.742365, 3.11, 1.02, 9.19, -0.05, -0.04, -0.02, -0.02, 0.62, 8.66, -0.08, -0.05, -0.0
2021-05-09 16:32:30.851763, 1620567150.8517632, 3.1, 0.95, 9.16, -0.05, -0.08, -0.02, 0.1, 0.56, 8.65, -0.07, -0.06, -0.02
