human_time, computer_time, x_acc_1, y_acc_1, z_acc_1, x_gyro_1, y_gyro_1, z_gyro_1, x_acc_2, y_acc_2, z_acc_2, x_gyro_2, y_gyro_2, z_gyro_2
2021-05-09 16:43:38.899041, 1620567818.8990417, 2.71, 1.33, 9.08, -0.11, 0.03, -0.17, -0.6, 1.13, 8.47, -0.08, -0.01, -0.17
2021-05-09 16:43:39.008552, 1620567819.0085528, 2.53, 1.36, 9.4, -0.14, -0.03, -0.2, -0.77, 1.14, 8.74, -0.1, -0.05, -0.24
2021-05-09 16:43:39.118620, 1620567819.11862, 2.87, 1.85, 9.16, -0.05, -0.09, -0.15, -0.62, 1.64, 8.45, -0.02, -0.12, -0.15
2021-05-09 16:43:39.227883, 1620567819.2278838, 2.38, 1.81, 9.21, 0.02, -0.02, 0.03, -0.97, 1.62, 8.4, -0.04, 0.02, 0.04
2021-05-09 16:43:39.337678, 1620567819.3376784, 2.9, 1.48, 9.6, 0.08, -0.03, 0.08, -0.58, 0.98, 9.05, -0.01, -0.06, 0.14
2021-05-09 16:43:39.446877, 1620567819.4468777, 2.74, 1.22, 9.21, 0.04, -0.02, 0.06, -0.55, 0.95, 8.59, -0.01, 0.0, 0.1
2021-05-09 16:43:39.556566, 1620567819.556566, 2.76, 1.04, 9.17, -0.04, -0.07, 0.01, -0.6, 0.79, 8.46, -0.06, -0.07, 0.01
2021-05-09 16:43:39.666349, 1620567819.6663492, 2.69, 1.19, 9.28, -0.04, -0.05, -0.0, -0.7, 0.91, 8.55, -0.07, -0.03, 0.01
2021-05-09 16:43:39.775896, 1620567819.7758963, 2.7, 1.05, 9.25, -0.06, -0.05, -0.0, -0.73, 0.72, 8.56, -0.09, -0.04, 0.0
2021-05-09 16:43:39.886740, 1620567819.8867407, 2.66, 0.94, 9.3, -0.06, -0.05, 0.01, -0.76, 0.7, 8.6, -0.09, -0.05, 0.01
2021-05-09 16:43:39.994876, 1620567819.9948764, 2.62, 0.95, 9.33, -0.06, -0.05, -0.01, -0.81, 0.7, 8.57, -0.09, -0.05, -0.0
2021-05-09 16:43:40.104487, 1620567820.104488, 2.69, 0.9, 9.25, -0.04, -0.06, -0.01, -0.76, 0.65, 8.56, -0.08, -0.06, -0.0
2021-05-09 16:43:40.213791, 1620567820.213792, 2.59, 1.06, 9.31, -0.05, -0.06, 0.02, -0.79, 0.77, 8.61, -0.08, -0.08, 0.01
2021-05-09 16:43:40.323514, 1620567820.3235142, 2.72, 0.99, 9.22, -0.05, -0.05, 0.03, -0.69, 0.77, 8.51, -0.1, -0.08, 0.03
2021-05-09 16:43:40.433237, 1620567820.4332373, 2.68, 0.93, 9.29, -0.03, -0.04, 0.03, -0.69, 0.66, 8.56, -0.09, -0.06, 0.04
2021-05-09 16:43:40.542683, 1620567820.5426834, 2.68, 0.91, 9.23, -0.02, -0.0, 0.02, -0.76, 0.71, 8.52, -0.08, -0.02, 0.05
2021-05-09 16:43:40.652529, 1620567820.65253, 2.52, 0.95, 9.32, -0.02, -0.02, 0.0, -0.81, 0.58, 8.56, -0.06, -0.01, 0.03
2021-05-09 16:43:40.761784, 1620567820.7617846, 2.61, 1.01, 9.3, -0.02, 0.0, -0.0, -0.76, 0.74, 8.59, -0.06, -0.02, 0.02
2021-05-09 16:43:40.871673, 1620567820.8716738, 2.52, 1.03, 9.34, -0.06, 0.02, -0.02, -0.85, 0.66, 8.56, -0.09, -0.01, -0.01
2021-05-09 16:43:40.980933, 1620567820.9809334, 2.4, 0.85, 9.39, -0.04, -0.04, 0.03, -0.92, 0.82, 8.56, -0.07, -0.05, 0.03
2021-05-09 16:43:41.090680, 1620567821.0906801, 2.4, 0.94, 9.42, -0.02, -0.06, -0.02, -0.97, 0.61, 8.63, -0.05, -0.06, 0.0
2021-05-09 16:43:41.200380, 1620567821.200381, 2.41, 0.99, 9.34, -0.05, -0.06, -0.05, -0.97, 0.67, 8.54, -0.06, -0.06, -0.05
2021-05-09 16:43:41.309975, 1620567821.3099754, 2.42, 0.93, 9.36, -0.06, -0.07, -0.05, -0.92, 0.8, 8.54, -0.07, -0.05, -0.05
2021-05-09 16:43:41.419741, 1620567821.4197414, 2.47, 0.92, 9.31, -0.03, -0.07, -0.02, -0.93, 0.67, 8.52, -0.05, -0.06, 0.0
2021-05-09 16:43:41.529016, 1620567821.5290165, 2.46, 0.92, 9.28, -0.04, -0.06, -0.04, -0.97, 0.69, 8.46, -0.07, -0.05, -0.02
2021-05-09 16:43:41.639714, 1620567821.6397145, 2.46, 0.92, 9.33, -0.03, -0.05, -0.02, -0.95, 0.68, 8.55, -0.06, -0.05, 0.01
2021-05-09 16:43:41.747809, 1620567821.7478096, 2.36, 0.97, 9.38, -0.05, -0.07, -0.01, -1.05, 0.68, 8.55, -0.07, -0.07, 0.01
2021-05-09 16:43:41.857734, 1620567821.8577344, 2.46, 0.99, 9.31, -0.04, -0.08, -0.01, -0.99, 0.72, 8.5, -0.07, -0.07, 0.01
2021-05-09 16:43:41.967303, 1620567821.9673035, 2.38, 0.85, 9.39, -0.04, -0.06, -0.01, -1.03, 0.66, 8.57, -0.07, -0.07, 0.0
2021-05-09 16:43:42.076935, 1620567822.0769358, 2.42, 0.9, 9.36, -0.03, -0.08, -0.01, -1.0, 0.68, 8.54, -0.07, -0.07, 0.01
2021-05-09 16:43:42.186556, 1620567822.186556, 2.52, 0.93, 9.29, -0.03, -0.08, -0.0, -0.98, 0.65, 8.48, -0.06, -0.08, 0.02
2021-05-09 16:43:42.296104, 1620567822.2961047, 2.43, 0.91, 9.36, -0.03, -0.07, -0.0, -1.0, 0.66, 8.54, -0.06, -0.07, 0.01
2021-05-09 16:43:42.405924, 1620567822.4059246, 2.44, 0.91, 9.38, -0.03, -0.1, -0.01, -1.0, 0.65, 8.57, -0.06, -0.08, -0.0
2021-05-09 16:43:42.515520, 1620567822.5155206, 2.59, 0.92, 9.28, -0.03, -0.09, -0.01, -0.92, 0.68, 8.51, -0.06, -0.08, -0.0
2021-05-09 16:43:42.624889, 1620567822.6248891, 2.53, 0.93, 9.31, -0.03, -0.06, -0.01, -0.94, 0.69, 8.53, -0.06, -0.07, -0.0
2021-05-09 16:43:42.734522, 1620567822.7345226, 2.54, 0.91, 9.28, -0.03, -0.06, -0.02, -0.95, 0.7, 8.49, -0.06, -0.07, -0.01
2021-05-09 16:43:42.844251, 1620567822.8442519, 2.5, 0.96, 9.33, -0.02, -0.05, -0.03, -0.94, 0.72, 8.55, -0.05, -0.06, -0.01
2021-05-09 16:43:42.953774, 1620567822.9537745, 2.47, 0.94, 9.39, -0.03, -0.05, -0.03, -1.0, 0.65, 8.6, -0.06, -0.06, -0.01
2021-05-09 16:43:43.063398, 1620567823.0633984, 2.52, 0.94, 9.33, -0.02, -0.07, -0.02, -0.96, 0.69, 8.54, -0.06, -0.07, -0.01
2021-05-09 16:43:43.172932, 1620567823.1729329, 2.51, 1.01, 9.32, -0.03, -0.06, -0.03, -0.97, 0.72, 8.53, -0.05, -0.06, -0.01
2021-05-09 16:43:43.282446, 1620567823.2824461, 2.47, 1.03, 9.34, -0.02, -0.06, -0.03, -1.02, 0.77, 8.53, -0.05, -0.06, -0.01
2021-05-09 16:43:43.391941, 1620567823.391941, 2.48, 1.01, 9.33, -0.02, -0.06, -0.02, -1.0, 0.76, 8.53, -0.06, -0.06, -0.0
2021-05-09 16:43:43.501130, 1620567823.5011306, 2.51, 1.04, 9.31, -0.02, -0.06, -0.01, -0.99, 0.78, 8.54, -0.06, -0.06, 0.01
2021-05-09 16:43:43.611189, 1620567823.61119, 2.52, 1.07, 9.31, -0.01, -0.04, -0.03, -0.99, 0.77, 8.51, -0.06, -0.05, 0.01
2021-05-09 16:43:43.720744, 1620567823.7207441, 2.49, 1.09, 9.27, -0.0, 0.0, -0.02, -0.98, 0.86, 8.46, -0.06, -0.04, 0.01
2021-05-09 16:43:43.830309, 1620567823.8303099, 2.35, 1.1, 9.38, -0.02, -0.01, -0.03, -1.09, 0.84, 8.57, -0.06, -0.04, 0.0
2021-05-09 16:43:43.939934, 1620567823.9399347, 2.32, 1.05, 9.39, 0.0, -0.03, -0.02, -1.06, 0.79, 8.54, -0.04, -0.05, 0.02
2021-05-09 16:43:44.049748, 1620567824.0497487, 2.31, 1.08, 9.39, -0.03, -0.05, -0.04, -1.09, 0.79, 8.54, -0.06, -0.07, -0.01
2021-05-09 16:43:44.159036, 1620567824.159036, 2.31, 1.15, 9.37, -0.04, -0.06, -0.0, -1.07, 0.89, 8.5, -0.07, -0.07, 0.01
2021-05-09 16:43:44.268880, 1620567824.2688801, 2.36, 1.08, 9.35, -0.04, -0.06, -0.01, -1.04, 0.78, 8.5, -0.08, -0.07, -0.01
2021-05-09 16:43:44.378496, 1620567824.3784962, 2.37, 1.02, 9.36, -0.03, -0.06, -0.02, -1.03, 0.8, 8.49, -0.07, -0.07, -0.0
2021-05-09 16:43:44.488358, 1620567824.4883583, 2.32, 1.01, 9.37, -0.02, -0.06, -0.04, -1.06, 0.78, 8.54, -0.06, -0.05, -0.01
2021-05-09 16:43:44.597648, 1620567824.597648, 2.39, 1.13, 9.36, -0.01, -0.08, -0.03, -1.07, 0.82, 8.55, -0.05, -0.08, -0.02
2021-05-09 16:43:44.706556, 1620567824.7075539, 2.43, 1.08, 9.32, -0.03, -0.06, -0.03, -0.98, 0.83, 8.5, -0.06, -0.08, -0.03
2021-05-09 16:43:44.816669, 1620567824.8166692, 2.41, 1.1, 9.29, -0.02, -0.06, -0.03, -1.01, 0.76, 8.51, -0.05, -0.06, -0.01
2021-05-09 16:43:44.925902, 1620567824.9259021, 2.4, 1.1, 9.34, -0.03, -0.05, -0.02, -1.02, 0.83, 8.53, -0.07, -0.06, -0.01
2021-05-09 16:43:45.035235, 1620567825.0352356, 2.39, 1.11, 9.36, -0.03, -0.05, -0.03, -1.04, 0.83, 8.52, -0.07, -0.06, -0.02
2021-05-09 16:43:45.145669, 1620567825.1456692, 2.39, 1.1, 9.34, -0.02, -0.05, -0.03, -1.03, 0.85, 8.53, -0.06, -0.07, -0.01
2021-05-09 16:43:45.255289, 1620567825.2552898, 2.42, 1.16, 9.35, -0.01, -0.06, -0.04, -1.03, 0.88, 8.52, -0.04, -0.07, -0.01
2021-05-09 16:43:45.364881, 1620567825.364882, 2.38, 1.15, 9.36, -0.01, -0.05, -0.01, -1.05, 0.84, 8.54, -0.05, -0.07, 0.01
