human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 16:08:56.539306,1621170536.5393066,1.6,0.1,9.15,-0.02,-0.05,-0.01,-1.78,1.8,7.88,-0.07,-0.06,-0.0
2021-05-16 16:08:56.649142,1621170536.649142,1.73,0.12,9.5,-0.04,-0.07,-0.03,-1.81,1.86,8.18,-0.06,-0.09,-0.0
2021-05-16 16:08:56.758326,1621170536.7583265,1.72,0.17,9.49,-0.04,-0.06,-0.03,-1.85,1.9,8.19,-0.07,-0.06,-0.01
2021-05-16 16:08:56.868191,1621170536.868191,1.72,0.17,9.49,-0.02,-0.06,-0.01,-1.82,1.88,8.18,-0.06,-0.08,-0.0
2021-05-16 16:08:56.977833,1621170536.9778335,1.7,0.13,9.55,-0.02,-0.06,-0.02,-1.77,1.89,8.21,-0.07,-0.06,-0.01
2021-05-16 16:08:57.087461,1621170537.0874615,1.73,0.18,9.52,-0.03,-0.07,-0.02,-1.82,1.89,8.2,-0.07,-0.08,-0.0
2021-05-16 16:08:57.196863,1621170537.1968637,1.71,0.21,9.5,-0.03,-0.06,-0.01,-1.81,1.91,8.21,-0.07,-0.07,0.0
2021-05-16 16:08:57.306475,1621170537.306475,1.78,0.2,9.47,-0.03,-0.07,-0.01,-1.79,1.92,8.19,-0.07,-0.08,0.0
2021-05-16 16:08:57.415600,1621170537.415601,1.71,0.19,9.5,-0.04,-0.06,-0.02,-1.78,1.9,8.21,-0.07,-0.06,-0.01
2021-05-16 16:08:57.525805,1621170537.525805,1.73,0.21,9.5,-0.04,-0.07,-0.01,-1.79,1.91,8.17,-0.07,-0.09,-0.0
2021-05-16 16:08:57.635731,1621170537.6357317,1.73,0.23,9.5,-0.04,-0.06,-0.0,-1.75,1.9,8.22,-0.08,-0.06,0.0
2021-05-16 16:08:57.744948,1621170537.744949,1.73,0.16,9.47,-0.04,-0.02,0.02,-1.77,1.9,8.19,-0.08,-0.07,-0.0
2021-05-16 16:08:57.854472,1621170537.8544726,1.63,0.18,9.55,-0.04,-0.06,-0.02,-1.78,1.91,8.23,-0.07,-0.07,-0.01
2021-05-16 16:08:57.964161,1621170537.964161,1.7,0.15,9.51,-0.04,-0.07,-0.02,-1.77,1.88,8.21,-0.07,-0.07,-0.0
2021-05-16 16:08:58.072676,1621170538.0726767,1.69,0.16,9.49,-0.05,-0.07,-0.03,-1.77,1.88,8.2,-0.07,-0.06,0.0
2021-05-16 16:08:58.184078,1621170538.1840787,1.7,0.15,9.53,-0.02,-0.07,-0.02,-1.75,1.9,8.2,-0.06,-0.08,-0.0
2021-05-16 16:08:58.292836,1621170538.2928367,1.7,0.19,9.5,-0.02,-0.07,-0.01,-1.72,1.93,8.19,-0.07,-0.07,0.0
2021-05-16 16:08:58.402661,1621170538.402661,1.73,0.18,9.5,-0.03,-0.07,-0.01,-1.76,1.9,8.2,-0.07,-0.06,-0.0
2021-05-16 16:08:58.512001,1621170538.5120013,1.67,0.2,9.53,-0.02,-0.06,-0.01,-1.75,1.92,8.2,-0.07,-0.06,-0.0
2021-05-16 16:08:58.622667,1621170538.6226673,1.72,0.25,9.52,-0.01,-0.07,0.01,-1.74,1.95,8.2,-0.08,-0.07,0.01
2021-05-16 16:08:58.731605,1621170538.731605,1.74,0.19,9.49,-0.03,-0.06,-0.01,-1.72,1.88,8.21,-0.08,-0.07,0.0
2021-05-16 16:08:58.840842,1621170538.8408425,1.78,0.22,9.5,-0.04,-0.07,-0.02,-1.71,1.88,8.21,-0.06,-0.07,-0.01
2021-05-16 16:08:58.950032,1621170538.950033,1.71,0.22,9.53,-0.03,-0.06,-0.0,-1.74,1.93,8.21,-0.08,-0.06,0.0
2021-05-16 16:08:59.060049,1621170539.0600498,1.72,0.21,9.5,-0.04,-0.07,-0.01,-1.74,1.9,8.19,-0.07,-0.07,0.0
2021-05-16 16:08:59.169801,1621170539.1698015,1.76,0.26,9.51,-0.05,-0.07,-0.02,-1.7,1.9,8.21,-0.07,-0.08,-0.01
2021-05-16 16:08:59.279621,1621170539.2796214,1.75,0.23,9.5,-0.04,-0.06,0.0,-1.73,1.9,8.22,-0.08,-0.07,-0.01
2021-05-16 16:08:59.390272,1621170539.3902726,1.71,0.14,9.54,-0.04,-0.06,-0.01,-1.71,1.88,8.23,-0.07,-0.07,0.0
2021-05-16 16:08:59.498712,1621170539.4987128,1.75,0.21,9.5,-0.04,-0.07,-0.02,-1.7,1.92,8.21,-0.06,-0.07,-0.0
2021-05-16 16:08:59.608222,1621170539.6082222,1.76,0.2,9.51,-0.05,-0.08,-0.01,-1.69,1.93,8.21,-0.07,-0.07,-0.0
2021-05-16 16:08:59.717654,1621170539.7176542,1.76,0.16,9.48,-0.04,-0.07,-0.01,-1.74,1.91,8.2,-0.07,-0.07,-0.0
2021-05-16 16:08:59.827361,1621170539.8273616,1.79,0.19,9.52,-0.04,-0.08,-0.02,-1.65,1.92,8.24,-0.07,-0.08,0.0
2021-05-16 16:08:59.936739,1621170539.9367397,1.83,0.18,9.49,-0.04,-0.06,-0.02,-1.68,1.91,8.22,-0.07,-0.06,-0.01
2021-05-16 16:09:00.046727,1621170540.0467277,1.8,0.23,9.5,-0.05,-0.08,0.01,-1.69,1.95,8.22,-0.07,-0.08,0.0
2021-05-16 16:09:00.155976,1621170540.1559768,1.83,0.15,9.48,-0.04,-0.06,0.01,-1.68,1.91,8.21,-0.08,-0.07,0.01
2021-05-16 16:09:00.266170,1621170540.266171,1.8,0.14,9.51,-0.04,-0.07,-0.01,-1.66,1.9,8.23,-0.08,-0.07,-0.0
2021-05-16 16:09:00.375312,1621170540.3753126,1.84,0.19,9.47,-0.04,-0.06,-0.02,-1.69,1.91,8.22,-0.07,-0.06,-0.01
2021-05-16 16:09:00.485514,1621170540.485515,1.81,0.16,9.48,-0.04,-0.07,-0.01,-1.67,1.89,8.23,-0.07,-0.07,0.0
2021-05-16 16:09:00.594744,1621170540.594745,1.81,0.11,9.47,-0.04,-0.06,-0.02,-1.68,1.9,8.22,-0.07,-0.05,-0.01
2021-05-16 16:09:00.704016,1621170540.7040164,1.79,0.18,9.49,-0.03,-0.06,-0.03,-1.68,1.88,8.23,-0.05,-0.08,-0.01
2021-05-16 16:09:00.813834,1621170540.8138342,1.82,0.21,9.5,-0.03,-0.05,-0.0,-1.64,1.93,8.23,-0.07,-0.06,-0.0
2021-05-16 16:09:00.923350,1621170540.92335,1.79,0.12,9.49,-0.04,-0.06,-0.01,-1.7,1.92,8.22,-0.07,-0.06,-0.0
2021-05-16 16:09:01.033190,1621170541.0331907,1.79,0.19,9.51,-0.03,-0.06,-0.02,-1.67,1.94,8.22,-0.06,-0.07,-0.01
2021-05-16 16:09:01.142816,1621170541.142817,1.8,0.22,9.45,-0.03,-0.05,-0.01,-1.67,1.93,8.2,-0.08,-0.05,-0.0
2021-05-16 16:09:01.252119,1621170541.2521198,1.76,0.16,9.53,-0.04,-0.05,-0.01,-1.69,1.91,8.2,-0.08,-0.05,0.0
2021-05-16 16:09:01.361936,1621170541.3619363,1.76,0.2,9.47,-0.03,-0.06,-0.01,-1.69,1.91,8.21,-0.07,-0.06,-0.0
2021-05-16 16:09:01.471480,1621170541.4714801,1.75,0.2,9.52,-0.04,-0.06,-0.0,-1.69,1.92,8.21,-0.08,-0.06,0.01
2021-05-16 16:09:01.581012,1621170541.5810125,1.76,0.16,9.48,-0.04,-0.05,-0.01,-1.73,1.89,8.21,-0.08,-0.06,0.0
2021-05-16 16:09:01.690671,1621170541.6906717,1.73,0.22,9.53,-0.04,-0.04,0.01,-1.72,1.91,8.21,-0.08,-0.07,0.0
2021-05-16 16:09:01.800141,1621170541.8001416,1.68,0.14,9.51,-0.03,-0.06,0.0,-1.71,1.92,8.22,-0.09,-0.06,0.01
2021-05-16 16:09:01.909716,1621170541.9097164,1.72,0.22,9.55,-0.05,-0.05,0.0,-1.72,1.88,8.27,-0.08,-0.07,0.01
2021-05-16 16:09:02.019398,1621170542.019399,1.77,0.15,9.52,-0.06,-0.02,0.01,-1.62,1.9,8.22,-0.07,-0.06,0.01
2021-05-16 16:09:02.129168,1621170542.1291687,1.66,0.1,9.49,-0.06,-0.03,-0.03,-1.68,1.9,8.21,-0.08,-0.02,-0.01
2021-05-16 16:09:02.238735,1621170542.2387354,1.73,0.17,9.49,-0.04,-0.03,-0.01,-1.71,1.88,8.21,-0.08,-0.02,-0.0
2021-05-16 16:09:02.348093,1621170542.3480937,1.59,-0.02,9.49,-0.03,-0.04,-0.02,-1.81,1.78,8.16,-0.09,0.0,-0.01
2021-05-16 16:09:02.457903,1621170542.4579031,1.52,0.15,9.57,-0.04,0.0,-0.01,-1.87,1.88,8.18,-0.07,-0.01,-0.03
2021-05-16 16:09:02.566689,1621170542.5666893,1.39,0.08,9.62,-0.07,-0.05,-0.03,-1.9,1.82,8.19,-0.06,-0.05,-0.01
2021-05-16 16:09:02.676971,1621170542.676971,1.49,0.13,9.52,-0.04,-0.07,-0.02,-1.91,1.9,8.13,-0.07,-0.1,0.0
2021-05-16 16:09:02.786433,1621170542.7864337,1.48,0.07,9.54,-0.02,-0.05,0.02,-1.87,1.86,8.18,-0.09,-0.08,0.02
2021-05-16 16:09:02.896093,1621170542.8960938,1.49,0.03,9.53,-0.03,-0.05,-0.0,-1.9,1.83,8.18,-0.07,-0.08,-0.01
2021-05-16 16:09:03.009421,1621170543.0094213,1.47,0.09,9.55,-0.03,-0.03,-0.03,-1.88,1.84,8.19,-0.06,-0.03,-0.02
2021-05-16 16:09:03.115162,1621170543.1151621,1.44,0.15,9.45,-0.03,-0.04,-0.03,-1.95,1.89,8.05,-0.07,-0.03,-0.01
2021-05-16 16:09:03.224111,1621170543.2241113,1.4,0.13,9.61,-0.03,-0.04,0.0,-1.91,1.86,8.2,-0.08,-0.05,-0.0
2021-05-16 16:09:03.334758,1621170543.334759,1.46,0.09,9.52,-0.04,-0.08,-0.0,-1.87,1.84,8.14,-0.08,-0.09,0.0
2021-05-16 16:09:03.444140,1621170543.4441404,1.49,0.1,9.54,-0.04,-0.07,-0.02,-1.96,1.83,8.17,-0.08,-0.04,-0.02
2021-05-16 16:09:03.553553,1621170543.5535533,1.45,0.09,9.53,-0.03,-0.08,-0.02,-1.96,1.83,8.16,-0.08,-0.05,-0.01
2021-05-16 16:09:03.663374,1621170543.6633742,1.44,0.08,9.53,-0.04,-0.08,-0.02,-1.94,1.82,8.16,-0.08,-0.05,-0.0
2021-05-16 16:09:03.772749,1621170543.7727494,1.5,0.11,9.57,-0.04,-0.08,-0.01,-1.98,1.82,8.15,-0.08,-0.06,0.0
2021-05-16 16:09:03.882462,1621170543.8824625,1.5,0.12,9.52,-0.04,-0.06,-0.01,-1.97,1.81,8.15,-0.08,-0.05,-0.0
2021-05-16 16:09:03.992144,1621170543.992144,1.45,0.1,9.55,-0.04,-0.06,-0.01,-1.99,1.8,8.17,-0.08,-0.06,-0.0
2021-05-16 16:09:04.101718,1621170544.101718,1.46,0.08,9.59,-0.04,-0.06,-0.01,-1.97,1.8,8.19,-0.07,-0.07,-0.01
2021-05-16 16:09:04.211415,1621170544.2114153,1.47,0.06,9.53,-0.04,-0.07,-0.01,-1.97,1.76,8.15,-0.07,-0.07,0.0
2021-05-16 16:09:04.320795,1621170544.3207953,1.49,0.1,9.51,-0.04,-0.07,-0.01,-1.94,1.79,8.16,-0.06,-0.08,-0.0
2021-05-16 16:09:04.430481,1621170544.430482,1.46,0.13,9.58,-0.03,-0.08,-0.01,-1.97,1.81,8.19,-0.06,-0.11,0.01
2021-05-16 16:09:04.539966,1621170544.5399668,1.53,0.11,9.52,-0.03,-0.07,-0.01,-1.91,1.83,8.18,-0.07,-0.09,0.0
2021-05-16 16:09:04.649140,1621170544.64914,1.5,0.15,9.55,-0.03,-0.05,0.01,-1.85,1.83,8.2,-0.08,-0.1,0.01
2021-05-16 16:09:04.757981,1621170544.7579818,1.52,0.06,9.51,-0.04,-0.05,0.01,-1.8,1.78,8.2,-0.08,-0.09,0.01
2021-05-16 16:09:04.869056,1621170544.869056,1.51,0.05,9.55,-0.04,-0.06,-0.02,-1.75,1.78,8.2,-0.06,-0.09,-0.0
2021-05-16 16:09:04.978639,1621170544.9786394,1.51,0.1,9.56,-0.04,-0.06,-0.03,-1.78,1.79,8.2,-0.07,-0.08,-0.01
2021-05-16 16:09:05.087733,1621170545.087733,1.48,0.09,9.59,-0.04,-0.06,-0.01,-1.73,1.79,8.24,-0.07,-0.08,0.0
2021-05-16 16:09:05.197731,1621170545.1977313,1.53,0.08,9.53,-0.04,-0.06,-0.02,-1.72,1.79,8.23,-0.07,-0.07,-0.0
2021-05-16 16:09:05.306461,1621170545.306461,1.49,0.07,9.53,-0.04,-0.06,-0.02,-1.73,1.8,8.21,-0.07,-0.05,-0.01
2021-05-16 16:09:05.416849,1621170545.4168491,1.5,0.11,9.53,-0.04,-0.05,-0.02,-1.78,1.81,8.21,-0.07,-0.03,-0.0
2021-05-16 16:09:05.526237,1621170545.5262372,1.44,0.08,9.55,-0.04,-0.05,-0.01,-1.79,1.81,8.2,-0.08,-0.04,-0.01
2021-05-16 16:09:05.636032,1621170545.636033,1.47,0.09,9.53,-0.04,-0.06,-0.01,-1.83,1.78,8.19,-0.08,-0.04,-0.01
2021-05-16 16:09:05.745641,1621170545.745641,1.43,0.07,9.55,-0.04,-0.06,-0.01,-1.86,1.76,8.21,-0.08,-0.05,-0.01
2021-05-16 16:09:05.854569,1621170545.8545694,1.47,0.06,9.5,-0.03,-0.05,-0.03,-1.87,1.75,8.18,-0.09,-0.03,-0.0
2021-05-16 16:09:05.964811,1621170545.964811,1.4,0.11,9.57,-0.03,-0.06,-0.02,-1.86,1.76,8.22,-0.08,-0.04,0.0
2021-05-16 16:09:06.074250,1621170546.0742502,1.45,0.09,9.53,-0.04,-0.07,-0.01,-1.91,1.74,8.19,-0.07,-0.07,0.0
2021-05-16 16:09:06.183048,1621170546.1830482,1.47,0.11,9.55,-0.03,-0.07,-0.01,-1.88,1.74,8.21,-0.07,-0.07,0.0
2021-05-16 16:09:06.293437,1621170546.293438,1.45,0.11,9.53,-0.04,-0.08,-0.01,-1.92,1.75,8.2,-0.07,-0.06,-0.0
2021-05-16 16:09:06.403256,1621170546.403257,1.47,0.14,9.54,-0.02,-0.06,0.0,-1.91,1.77,8.2,-0.08,-0.05,-0.0
2021-05-16 16:09:06.512570,1621170546.5125706,1.44,0.1,9.57,-0.03,-0.07,-0.01,-1.91,1.75,8.22,-0.07,-0.07,0.0
2021-05-16 16:09:06.622461,1621170546.6224618,1.49,0.08,9.54,-0.04,-0.06,-0.01,-1.91,1.74,8.19,-0.07,-0.06,-0.0
2021-05-16 16:09:06.731243,1621170546.732281,1.45,0.12,9.55,-0.04,-0.06,-0.01,-1.92,1.74,8.2,-0.07,-0.06,-0.0
2021-05-16 16:09:06.841304,1621170546.8413048,1.48,0.11,9.56,-0.03,-0.07,-0.01,-1.91,1.75,8.2,-0.07,-0.07,0.0
2021-05-16 16:09:06.950885,1621170546.950885,1.48,0.1,9.54,-0.03,-0.07,-0.02,-1.88,1.75,8.18,-0.07,-0.08,0.0
2021-05-16 16:09:07.060727,1621170547.0607276,1.49,0.08,9.5,-0.02,-0.07,-0.02,-1.92,1.72,8.18,-0.07,-0.06,0.0
2021-05-16 16:09:07.170236,1621170547.1702366,1.5,0.13,9.53,-0.04,-0.06,-0.01,-1.92,1.72,8.18,-0.07,-0.06,-0.0
2021-05-16 16:09:07.279803,1621170547.279804,1.48,0.1,9.55,-0.04,-0.06,-0.02,-1.88,1.74,8.19,-0.07,-0.06,0.0
