human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 16:04:51.764250,1621170291.764251,2.15,0.06,9.06,-0.03,-0.05,-0.02,-2.14,1.2,7.88,-0.07,-0.08,0.01
2021-05-16 16:04:51.873840,1621170291.8738408,2.25,0.09,9.43,-0.04,-0.06,-0.0,-2.19,1.28,8.19,-0.07,-0.08,0.01
2021-05-16 16:04:51.983738,1621170291.9837384,2.25,0.06,9.37,-0.03,-0.06,-0.01,-2.2,1.27,8.19,-0.06,-0.1,0.01
2021-05-16 16:04:52.092556,1621170292.0925562,2.25,0.11,9.43,-0.03,-0.07,-0.03,-2.16,1.27,8.21,-0.06,-0.08,-0.0
2021-05-16 16:04:52.202293,1621170292.202293,2.27,0.07,9.4,-0.04,-0.06,-0.01,-2.11,1.3,8.22,-0.07,-0.09,0.02
2021-05-16 16:04:52.312341,1621170292.3123415,2.22,0.09,9.45,-0.04,-0.06,-0.02,-2.1,1.28,8.19,-0.07,-0.1,0.0
2021-05-16 16:04:52.422028,1621170292.4220288,2.27,0.11,9.39,-0.04,-0.06,-0.02,-2.06,1.29,8.21,-0.07,-0.09,-0.01
2021-05-16 16:04:52.527715,1621170292.527715,2.25,0.11,9.4,-0.04,-0.06,-0.01,-2.04,1.3,8.22,-0.07,-0.07,-0.0
2021-05-16 16:04:52.641203,1621170292.6412039,2.25,0.07,9.4,-0.04,-0.06,-0.0,-2.07,1.27,8.21,-0.08,-0.06,-0.0
2021-05-16 16:04:52.750604,1621170292.7506049,2.23,0.06,9.43,-0.03,-0.06,-0.02,-2.06,1.28,8.23,-0.07,-0.05,-0.0
2021-05-16 16:04:52.860140,1621170292.8601408,2.22,0.1,9.43,-0.03,-0.05,-0.02,-2.07,1.28,8.21,-0.07,-0.05,-0.01
2021-05-16 16:04:52.968892,1621170292.9688928,2.2,0.11,9.41,-0.03,-0.05,-0.01,-2.11,1.29,8.21,-0.07,-0.05,0.0
2021-05-16 16:04:53.078881,1621170293.0788817,2.2,0.07,9.44,-0.03,-0.06,-0.02,-2.1,1.27,8.21,-0.07,-0.06,-0.0
2021-05-16 16:04:53.189035,1621170293.1890354,2.21,0.11,9.42,-0.03,-0.06,-0.02,-2.12,1.29,8.21,-0.07,-0.05,0.0
2021-05-16 16:04:53.298140,1621170293.29814,2.19,0.12,9.44,-0.03,-0.06,-0.01,-2.13,1.27,8.23,-0.07,-0.06,0.0
2021-05-16 16:04:53.408332,1621170293.4083328,2.2,0.08,9.42,-0.03,-0.06,-0.01,-2.12,1.26,8.21,-0.07,-0.06,-0.0
2021-05-16 16:04:53.517437,1621170293.5174375,2.19,0.11,9.44,-0.04,-0.06,-0.02,-2.12,1.27,8.21,-0.07,-0.06,-0.0
2021-05-16 16:04:53.626579,1621170293.6265793,2.22,0.11,9.43,-0.03,-0.06,-0.02,-2.13,1.29,8.21,-0.07,-0.05,0.0
2021-05-16 16:04:53.736991,1621170293.7369916,2.2,0.12,9.45,-0.04,-0.06,-0.01,-2.17,1.28,8.23,-0.07,-0.04,-0.0
2021-05-16 16:04:53.846431,1621170293.8464313,2.19,0.1,9.41,-0.04,-0.05,-0.02,-2.16,1.29,8.2,-0.07,-0.04,-0.01
2021-05-16 16:04:53.956216,1621170293.956216,2.19,0.13,9.43,-0.05,-0.06,-0.01,-2.17,1.28,8.2,-0.08,-0.04,-0.01
2021-05-16 16:04:54.066068,1621170294.066069,2.18,0.1,9.44,-0.04,-0.06,-0.01,-2.24,1.27,8.18,-0.08,-0.04,-0.01
