human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 09:22:00.844889,1621146120.8448896,0.11,0.04,0.73,-0.03,-0.06,-0.01,0.22,0.09,1.13,-0.06,-0.07,-0.0
2021-05-16 09:22:00.855177,1621146120.8551772,0.5,0.19,3.12,-0.03,-0.06,-0.01,0.6,0.27,3.14,-0.06,-0.07,-0.0
2021-05-16 09:22:00.864355,1621146120.8643553,0.78,0.3,4.86,-0.03,-0.06,-0.01,0.85,0.38,4.47,-0.06,-0.07,-0.0
2021-05-16 09:22:00.875129,1621146120.8751297,1.0,0.37,6.11,-0.03,-0.06,-0.01,1.06,0.47,5.56,-0.06,-0.07,-0.0
2021-05-16 09:22:00.885086,1621146120.885086,1.16,0.42,7.02,-0.03,-0.06,-0.01,1.21,0.55,6.35,-0.06,-0.07,-0.0
2021-05-16 09:22:00.894434,1621146120.894435,1.26,0.45,7.64,-0.03,-0.06,-0.01,1.31,0.6,6.94,-0.06,-0.06,-0.0
2021-05-16 09:22:00.904413,1621146120.9044132,1.33,0.47,8.14,-0.03,-0.06,-0.01,1.39,0.64,7.37,-0.06,-0.06,-0.0
2021-05-16 09:22:00.914890,1621146120.91489,1.39,0.49,8.52,-0.03,-0.06,-0.01,1.45,0.66,7.69,-0.06,-0.06,-0.0
2021-05-16 09:22:00.924206,1621146120.9242067,1.43,0.5,8.79,-0.03,-0.06,-0.01,1.49,0.67,7.91,-0.06,-0.06,-0.0
2021-05-16 09:22:00.934820,1621146120.9348204,1.46,0.5,8.98,-0.03,-0.06,-0.01,1.51,0.69,8.09,-0.06,-0.07,-0.0
2021-05-16 09:22:00.944671,1621146120.944671,1.48,0.53,9.12,-0.03,-0.06,-0.01,1.53,0.71,8.2,-0.06,-0.07,-0.0
2021-05-16 09:22:00.954319,1621146120.9543195,1.5,0.54,9.22,-0.03,-0.06,-0.01,1.55,0.72,8.3,-0.06,-0.07,-0.0
2021-05-16 09:22:00.964468,1621146120.9644685,1.5,0.55,9.31,-0.03,-0.06,-0.01,1.57,0.72,8.37,-0.06,-0.07,-0.0
2021-05-16 09:22:00.973859,1621146120.9738598,1.52,0.56,9.36,-0.03,-0.06,-0.01,1.58,0.72,8.41,-0.06,-0.07,-0.0
2021-05-16 09:22:00.984380,1621146120.9843805,1.52,0.57,9.39,-0.03,-0.06,-0.01,1.59,0.73,8.44,-0.06,-0.07,-0.0
2021-05-16 09:22:00.993917,1621146120.9939172,1.52,0.58,9.42,-0.03,-0.06,-0.01,1.59,0.73,8.46,-0.06,-0.06,-0.0
2021-05-16 09:22:01.004539,1621146121.0045395,1.53,0.58,9.44,-0.03,-0.06,-0.01,1.59,0.74,8.48,-0.06,-0.06,-0.0
2021-05-16 09:22:01.013038,1621146121.0130389,1.53,0.59,9.46,-0.03,-0.06,-0.01,1.59,0.73,8.5,-0.07,-0.06,-0.0
2021-05-16 09:22:01.022799,1621146121.0228,1.51,0.58,9.48,-0.03,-0.06,-0.01,1.59,0.73,8.51,-0.07,-0.06,-0.0
2021-05-16 09:22:01.032154,1621146121.032154,1.51,0.59,9.49,-0.04,-0.06,-0.01,1.6,0.73,8.51,-0.07,-0.06,-0.0
2021-05-16 09:22:01.043517,1621146121.0435176,1.5,0.59,9.5,-0.04,-0.06,-0.01,1.6,0.73,8.52,-0.07,-0.07,-0.0
