human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 09:50:43.074071,1621147843.074072,0.06,0.02,0.73,-0.03,-0.08,-0.01,-0.35,0.18,1.07,-0.07,-0.08,-0.0
2021-05-16 09:50:43.083637,1621147843.0836372,0.23,0.12,3.15,-0.03,-0.08,-0.01,-0.97,0.5,2.96,-0.06,-0.08,-0.0
2021-05-16 09:50:43.093793,1621147843.093793,0.35,0.19,4.92,-0.03,-0.08,-0.01,-1.42,0.73,4.33,-0.06,-0.08,0.0
2021-05-16 09:50:43.104185,1621147843.1041853,0.42,0.25,6.2,-0.03,-0.09,-0.01,-1.71,0.89,5.25,-0.07,-0.08,0.0
2021-05-16 09:50:43.114160,1621147843.1141603,0.48,0.28,7.12,-0.03,-0.09,-0.01,-1.95,1.0,6.0,-0.07,-0.08,0.01
2021-05-16 09:50:43.119146,1621147843.1191468,0.53,0.31,7.78,-0.03,-0.09,-0.01,-2.12,1.1,6.55,-0.07,-0.08,0.01
2021-05-16 09:50:43.133185,1621147843.1331856,0.57,0.33,8.28,-0.04,-0.09,-0.01,-2.25,1.16,6.96,-0.07,-0.08,0.01
2021-05-16 09:50:43.143660,1621147843.1436608,0.6,0.33,8.62,-0.04,-0.09,-0.01,-2.35,1.21,7.26,-0.07,-0.08,0.01
2021-05-16 09:50:43.153660,1621147843.1536603,0.63,0.33,8.9,-0.04,-0.09,-0.01,-2.42,1.24,7.47,-0.07,-0.09,0.0
2021-05-16 09:50:43.163468,1621147843.1634684,0.66,0.34,9.1,-0.04,-0.09,-0.01,-2.47,1.27,7.63,-0.07,-0.09,0.0
2021-05-16 09:50:43.171690,1621147843.171691,0.67,0.34,9.24,-0.04,-0.09,-0.01,-2.52,1.3,7.74,-0.07,-0.09,-0.0
2021-05-16 09:50:43.183516,1621147843.1835163,0.67,0.35,9.34,-0.04,-0.09,-0.01,-2.54,1.32,7.81,-0.07,-0.09,-0.01
2021-05-16 09:50:43.193525,1621147843.193525,0.68,0.37,9.42,-0.04,-0.09,-0.01,-2.56,1.32,7.86,-0.07,-0.09,-0.01
2021-05-16 09:50:43.203109,1621147843.2031097,0.68,0.37,9.47,-0.04,-0.09,-0.01,-2.56,1.32,7.9,-0.07,-0.08,-0.01
2021-05-16 09:50:43.213300,1621147843.2133005,0.68,0.37,9.5,-0.04,-0.09,-0.01,-2.55,1.32,7.92,-0.07,-0.08,-0.01
2021-05-16 09:50:43.222599,1621147843.2225993,0.69,0.36,9.51,-0.04,-0.09,-0.01,-2.56,1.31,7.94,-0.07,-0.08,-0.01
2021-05-16 09:50:43.233447,1621147843.2334478,0.7,0.36,9.53,-0.04,-0.09,-0.01,-2.57,1.31,7.97,-0.07,-0.08,-0.01
2021-05-16 09:50:43.243347,1621147843.243348,0.7,0.37,9.54,-0.04,-0.09,-0.01,-2.57,1.32,7.99,-0.08,-0.08,-0.0
2021-05-16 09:50:43.253425,1621147843.2534258,0.7,0.38,9.55,-0.04,-0.09,-0.01,-2.57,1.33,8.0,-0.08,-0.08,-0.0
2021-05-16 09:50:43.263148,1621147843.2631488,0.71,0.4,9.58,-0.04,-0.08,-0.02,-2.58,1.35,8.02,-0.08,-0.08,-0.0
2021-05-16 09:50:43.270786,1621147843.270786,0.7,0.39,9.6,-0.04,-0.08,-0.02,-2.59,1.36,8.03,-0.08,-0.08,-0.01
2021-05-16 09:50:43.283435,1621147843.2834358,0.7,0.39,9.61,-0.04,-0.08,-0.02,-2.59,1.37,8.04,-0.08,-0.08,-0.01
2021-05-16 09:50:43.292652,1621147843.2926528,0.71,0.38,9.63,-0.04,-0.08,-0.02,-2.59,1.37,8.05,-0.08,-0.09,-0.01
2021-05-16 09:50:43.302637,1621147843.3026378,0.72,0.37,9.64,-0.04,-0.08,-0.02,-2.59,1.36,8.05,-0.07,-0.09,-0.01
2021-05-16 09:50:43.312969,1621147843.3129692,0.72,0.38,9.63,-0.04,-0.08,-0.02,-2.58,1.37,8.05,-0.07,-0.09,-0.02
2021-05-16 09:50:43.322872,1621147843.3228724,0.75,0.39,9.61,-0.04,-0.08,-0.02,-2.57,1.38,8.05,-0.07,-0.09,-0.01
2021-05-16 09:50:43.334331,1621147843.3343313,0.74,0.4,9.59,-0.04,-0.08,-0.02,-2.56,1.38,8.03,-0.07,-0.09,-0.01
2021-05-16 09:50:43.343012,1621147843.343012,0.73,0.39,9.6,-0.03,-0.08,-0.02,-2.55,1.37,8.02,-0.07,-0.09,-0.01
2021-05-16 09:50:43.352564,1621147843.3525643,0.73,0.37,9.6,-0.04,-0.08,-0.02,-2.55,1.36,8.02,-0.07,-0.09,-0.01
2021-05-16 09:50:43.362797,1621147843.362797,0.72,0.37,9.59,-0.04,-0.08,-0.02,-2.56,1.34,8.03,-0.07,-0.08,-0.0
2021-05-16 09:50:43.372690,1621147843.3726907,0.73,0.37,9.6,-0.04,-0.08,-0.02,-2.57,1.34,8.03,-0.07,-0.08,0.0
2021-05-16 09:50:43.382563,1621147843.3825636,0.71,0.38,9.6,-0.04,-0.08,-0.02,-2.58,1.33,8.02,-0.07,-0.08,0.01
2021-05-16 09:50:43.392519,1621147843.39252,0.71,0.36,9.6,-0.04,-0.08,-0.02,-2.58,1.33,8.03,-0.07,-0.08,0.01
2021-05-16 09:50:43.402305,1621147843.4023058,0.71,0.38,9.61,-0.04,-0.08,-0.02,-2.58,1.32,8.05,-0.07,-0.07,0.01
2021-05-16 09:50:43.412318,1621147843.412319,0.72,0.39,9.62,-0.04,-0.08,-0.02,-2.58,1.33,8.08,-0.07,-0.07,0.01
2021-05-16 09:50:43.422219,1621147843.4222193,0.75,0.4,9.63,-0.04,-0.08,-0.01,-2.57,1.33,8.1,-0.07,-0.07,0.0
2021-05-16 09:50:43.432640,1621147843.4326408,0.74,0.39,9.63,-0.04,-0.08,-0.01,-2.57,1.34,8.09,-0.07,-0.08,-0.0
2021-05-16 09:50:43.442323,1621147843.4423234,0.74,0.39,9.63,-0.04,-0.09,-0.01,-2.55,1.34,8.09,-0.08,-0.08,-0.0
2021-05-16 09:50:43.452220,1621147843.4522202,0.75,0.39,9.6,-0.04,-0.09,-0.01,-2.55,1.34,8.07,-0.08,-0.08,-0.01
2021-05-16 09:50:43.462122,1621147843.4621224,0.78,0.39,9.6,-0.04,-0.09,-0.01,-2.54,1.35,8.05,-0.08,-0.08,-0.01
2021-05-16 09:50:43.472023,1621147843.4720232,0.76,0.37,9.6,-0.04,-0.09,-0.02,-2.54,1.35,8.03,-0.07,-0.08,-0.01
2021-05-16 09:50:43.481926,1621147843.481926,0.76,0.37,9.6,-0.04,-0.08,-0.02,-2.55,1.34,8.04,-0.07,-0.08,-0.01
2021-05-16 09:50:43.492185,1621147843.4921858,0.76,0.36,9.61,-0.04,-0.08,-0.01,-2.57,1.33,8.03,-0.07,-0.08,-0.01
2021-05-16 09:50:43.502069,1621147843.5020695,0.76,0.35,9.6,-0.04,-0.08,-0.01,-2.57,1.32,8.03,-0.07,-0.08,-0.0
2021-05-16 09:50:43.511990,1621147843.5119908,0.77,0.34,9.61,-0.03,-0.08,-0.01,-2.57,1.31,8.04,-0.07,-0.08,-0.0
2021-05-16 09:50:43.521862,1621147843.521863,0.77,0.35,9.62,-0.04,-0.08,-0.01,-2.57,1.31,8.06,-0.07,-0.07,-0.0
2021-05-16 09:50:43.531682,1621147843.5316825,0.77,0.36,9.62,-0.04,-0.08,-0.01,-2.56,1.31,8.07,-0.07,-0.07,0.0
2021-05-16 09:50:43.541581,1621147843.5415816,0.78,0.37,9.62,-0.04,-0.08,-0.01,-2.56,1.32,8.08,-0.07,-0.07,0.0
2021-05-16 09:50:43.551476,1621147843.5514762,0.78,0.37,9.62,-0.04,-0.08,-0.01,-2.55,1.34,8.07,-0.07,-0.07,0.0
2021-05-16 09:50:43.561473,1621147843.5614736,0.79,0.36,9.62,-0.04,-0.08,-0.01,-2.53,1.34,8.06,-0.07,-0.07,0.0
2021-05-16 09:50:43.571716,1621147843.5717165,0.79,0.35,9.61,-0.04,-0.08,-0.01,-2.52,1.34,8.05,-0.07,-0.07,-0.0
2021-05-16 09:50:43.581646,1621147843.5816464,0.79,0.36,9.61,-0.04,-0.08,-0.02,-2.52,1.34,8.05,-0.07,-0.07,-0.0
2021-05-16 09:50:43.591517,1621147843.5915177,0.79,0.36,9.61,-0.04,-0.07,-0.01,-2.53,1.33,8.05,-0.07,-0.07,-0.0
2021-05-16 09:50:43.601416,1621147843.6014163,0.79,0.37,9.59,-0.03,-0.07,-0.01,-2.53,1.33,8.04,-0.06,-0.07,-0.01
2021-05-16 09:50:43.611295,1621147843.611295,0.79,0.38,9.59,-0.03,-0.07,-0.01,-2.54,1.33,8.05,-0.06,-0.07,-0.01
2021-05-16 09:50:43.621186,1621147843.621186,0.79,0.4,9.59,-0.03,-0.07,-0.01,-2.54,1.35,8.05,-0.06,-0.07,-0.01
2021-05-16 09:50:43.630656,1621147843.630656,0.8,0.4,9.59,-0.03,-0.07,-0.01,-2.54,1.35,8.05,-0.06,-0.07,-0.01
2021-05-16 09:50:43.641336,1621147843.6413367,0.8,0.38,9.58,-0.03,-0.06,-0.01,-2.54,1.34,8.04,-0.06,-0.07,-0.0
2021-05-16 09:50:43.651097,1621147843.651097,0.79,0.38,9.58,-0.03,-0.06,-0.01,-2.54,1.33,8.04,-0.07,-0.06,0.0
2021-05-16 09:50:43.660256,1621147843.660257,0.78,0.39,9.58,-0.03,-0.06,-0.01,-2.54,1.33,8.04,-0.07,-0.06,0.01
2021-05-16 09:50:43.670062,1621147843.6700623,0.78,0.39,9.59,-0.03,-0.06,-0.01,-2.55,1.33,8.06,-0.07,-0.06,0.01
2021-05-16 09:50:43.680900,1621147843.6809003,0.77,0.4,9.6,-0.03,-0.06,-0.01,-2.57,1.33,8.08,-0.07,-0.06,0.01
2021-05-16 09:50:43.690804,1621147843.6908042,0.75,0.39,9.62,-0.04,-0.06,-0.01,-2.57,1.33,8.08,-0.07,-0.06,0.01
2021-05-16 09:50:43.700883,1621147843.7008834,0.76,0.38,9.65,-0.04,-0.06,-0.01,-2.57,1.33,8.09,-0.07,-0.06,0.01
2021-05-16 09:50:43.710573,1621147843.7105737,0.76,0.38,9.66,-0.04,-0.06,-0.01,-2.56,1.32,8.09,-0.06,-0.07,0.0
2021-05-16 09:50:43.720864,1621147843.720864,0.77,0.39,9.65,-0.04,-0.06,-0.01,-2.55,1.33,8.09,-0.06,-0.07,-0.0
2021-05-16 09:50:43.730764,1621147843.7307642,0.78,0.39,9.63,-0.04,-0.07,-0.01,-2.55,1.34,8.07,-0.06,-0.06,-0.0
2021-05-16 09:50:43.740672,1621147843.7406728,0.76,0.4,9.61,-0.03,-0.06,-0.01,-2.54,1.35,8.05,-0.06,-0.06,-0.0
2021-05-16 09:50:43.750260,1621147843.75026,0.76,0.4,9.61,-0.03,-0.06,-0.01,-2.54,1.36,8.05,-0.07,-0.06,-0.0
2021-05-16 09:50:43.760463,1621147843.7604637,0.76,0.42,9.6,-0.03,-0.06,-0.01,-2.53,1.35,8.03,-0.07,-0.06,-0.0
2021-05-16 09:50:43.770341,1621147843.7703416,0.78,0.42,9.59,-0.03,-0.06,-0.01,-2.53,1.34,8.03,-0.07,-0.06,0.0
2021-05-16 09:50:43.779483,1621147843.7794828,0.79,0.41,9.59,-0.03,-0.07,-0.01,-2.53,1.33,8.03,-0.07,-0.06,0.01
2021-05-16 09:50:43.790115,1621147843.790115,0.8,0.37,9.58,-0.04,-0.06,-0.01,-2.53,1.32,8.04,-0.08,-0.06,0.01
2021-05-16 09:50:43.799153,1621147843.7991529,0.81,0.34,9.58,-0.04,-0.06,-0.01,-2.53,1.3,8.06,-0.08,-0.06,0.01
2021-05-16 09:50:43.809940,1621147843.8099406,0.79,0.34,9.6,-0.04,-0.06,-0.01,-2.53,1.29,8.06,-0.08,-0.06,0.01
2021-05-16 09:50:43.820195,1621147843.8201957,0.8,0.34,9.61,-0.04,-0.06,-0.01,-2.55,1.29,8.08,-0.08,-0.06,0.01
2021-05-16 09:50:43.830085,1621147843.8300853,0.79,0.34,9.62,-0.04,-0.06,-0.02,-2.56,1.29,8.08,-0.07,-0.06,0.0
2021-05-16 09:50:43.839894,1621147843.8398945,0.8,0.36,9.64,-0.04,-0.06,-0.02,-2.55,1.29,8.08,-0.07,-0.06,-0.0
2021-05-16 09:50:43.849423,1621147843.8494234,0.79,0.37,9.63,-0.04,-0.06,-0.02,-2.54,1.31,8.09,-0.07,-0.07,-0.01
2021-05-16 09:50:43.859667,1621147843.8596675,0.8,0.36,9.63,-0.04,-0.06,-0.02,-2.53,1.32,8.1,-0.08,-0.07,-0.01
2021-05-16 09:50:43.869261,1621147843.8692617,0.79,0.36,9.63,-0.04,-0.06,-0.02,-2.52,1.34,8.1,-0.07,-0.07,-0.01
2021-05-16 09:50:43.879819,1621147843.8798199,0.8,0.36,9.63,-0.04,-0.06,-0.02,-2.52,1.35,8.09,-0.07,-0.07,-0.01
2021-05-16 09:50:43.889712,1621147843.8897128,0.81,0.37,9.63,-0.04,-0.06,-0.02,-2.52,1.35,8.06,-0.07,-0.07,-0.01
2021-05-16 09:50:43.899027,1621147843.899027,0.81,0.37,9.61,-0.04,-0.06,-0.02,-2.53,1.36,8.05,-0.07,-0.07,-0.01
2021-05-16 09:50:43.909545,1621147843.909546,0.8,0.38,9.6,-0.04,-0.06,-0.03,-2.53,1.36,8.03,-0.07,-0.07,-0.0
2021-05-16 09:50:43.919501,1621147843.9195015,0.8,0.38,9.59,-0.04,-0.06,-0.03,-2.53,1.35,8.03,-0.07,-0.07,-0.0
2021-05-16 09:50:43.929393,1621147843.9293938,0.79,0.37,9.6,-0.04,-0.06,-0.03,-2.54,1.32,8.04,-0.07,-0.06,0.0
2021-05-16 09:50:43.939292,1621147843.939292,0.78,0.36,9.61,-0.04,-0.06,-0.03,-2.54,1.31,8.05,-0.07,-0.06,0.0
2021-05-16 09:50:43.949134,1621147843.9491348,0.77,0.35,9.61,-0.04,-0.06,-0.03,-2.54,1.31,8.05,-0.07,-0.06,0.0
2021-05-16 09:50:43.959441,1621147843.9594417,0.78,0.36,9.62,-0.04,-0.06,-0.03,-2.53,1.31,8.07,-0.07,-0.06,0.0
2021-05-16 09:50:43.969337,1621147843.9693372,0.78,0.38,9.62,-0.04,-0.06,-0.03,-2.53,1.31,8.07,-0.07,-0.06,-0.0
2021-05-16 09:50:43.979223,1621147843.9792235,0.77,0.38,9.63,-0.04,-0.06,-0.02,-2.52,1.32,8.08,-0.07,-0.06,-0.0
2021-05-16 09:50:43.989141,1621147843.9891412,0.77,0.38,9.63,-0.04,-0.06,-0.02,-2.52,1.33,8.08,-0.07,-0.06,-0.01
2021-05-16 09:50:43.999354,1621147843.9993548,0.77,0.37,9.63,-0.04,-0.06,-0.02,-2.52,1.33,8.08,-0.07,-0.07,-0.01
2021-05-16 09:50:44.009244,1621147844.009244,0.78,0.37,9.61,-0.04,-0.06,-0.02,-2.52,1.34,8.07,-0.07,-0.07,-0.01
2021-05-16 09:50:44.019146,1621147844.0191464,0.79,0.38,9.6,-0.04,-0.06,-0.02,-2.52,1.34,8.05,-0.07,-0.07,-0.01
2021-05-16 09:50:44.029044,1621147844.0290444,0.79,0.38,9.6,-0.04,-0.06,-0.02,-2.53,1.34,8.04,-0.07,-0.07,-0.01
2021-05-16 09:50:44.039013,1621147844.0390131,0.79,0.38,9.6,-0.04,-0.06,-0.02,-2.53,1.34,8.04,-0.07,-0.07,-0.01
2021-05-16 09:50:44.049109,1621147844.049109,0.77,0.39,9.6,-0.05,-0.06,-0.02,-2.54,1.34,8.05,-0.07,-0.06,-0.0
2021-05-16 09:50:44.059170,1621147844.0591705,0.77,0.39,9.61,-0.04,-0.06,-0.02,-2.55,1.34,8.06,-0.07,-0.06,-0.0
2021-05-16 09:50:44.068982,1621147844.0689824,0.77,0.37,9.6,-0.04,-0.06,-0.02,-2.54,1.34,8.05,-0.07,-0.06,-0.0
2021-05-16 09:50:44.078916,1621147844.0789168,0.79,0.36,9.6,-0.04,-0.06,-0.02,-2.53,1.33,8.06,-0.07,-0.06,-0.0
2021-05-16 09:50:44.088789,1621147844.0887895,0.79,0.35,9.62,-0.04,-0.06,-0.02,-2.52,1.32,8.07,-0.07,-0.06,-0.0
