human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-15 23:05:53.113899,1621109153.1138997,0.37,0.32,9.26,-0.02,-0.05,-0.03,-1.91,0.26,7.95,-0.04,-0.07,-0.04
2021-05-15 23:05:53.224756,1621109153.224756,0.42,0.28,9.6,-0.02,-0.03,-0.05,-1.96,0.28,8.18,-0.06,-0.04,-0.04
2021-05-15 23:05:53.335705,1621109153.3357055,0.31,0.4,9.63,-0.02,-0.04,-0.04,-2.02,0.34,8.21,-0.04,-0.06,-0.02
2021-05-15 23:05:53.446597,1621109153.4465976,0.28,0.38,9.7,-0.01,-0.07,-0.01,-2.03,0.31,8.28,-0.05,-0.07,-0.01
2021-05-15 23:05:53.557731,1621109153.5577314,0.38,0.39,9.62,-0.03,-0.08,-0.01,-1.95,0.3,8.21,-0.07,-0.07,-0.02
2021-05-15 23:05:53.668581,1621109153.668582,0.36,0.37,9.63,-0.05,-0.08,-0.02,-1.95,0.28,8.24,-0.08,-0.07,-0.03
2021-05-15 23:05:53.779555,1621109153.779555,0.37,0.41,9.63,-0.05,-0.07,-0.01,-1.98,0.36,8.22,-0.09,-0.07,-0.01
2021-05-15 23:05:53.888930,1621109153.8889306,0.28,0.34,9.67,-0.05,-0.04,-0.02,-2.03,0.28,8.24,-0.08,-0.05,-0.01
2021-05-15 23:05:54.000816,1621109154.0008166,0.26,0.35,9.72,-0.05,-0.05,-0.03,-2.03,0.29,8.28,-0.07,-0.07,-0.02
2021-05-15 23:05:54.112359,1621109154.1123595,0.33,0.27,9.64,-0.04,-0.07,-0.02,-2.0,0.19,8.24,-0.08,-0.07,-0.01
2021-05-15 23:05:54.222642,1621109154.2226424,0.28,0.35,9.69,-0.04,-0.06,-0.02,-2.01,0.26,8.26,-0.08,-0.07,-0.01
2021-05-15 23:05:54.333634,1621109154.3336344,0.34,0.24,9.6,-0.04,-0.07,-0.02,-1.97,0.18,8.2,-0.08,-0.06,-0.02
2021-05-15 23:05:54.444651,1621109154.4446514,0.36,0.32,9.62,-0.04,-0.06,-0.03,-1.96,0.24,8.22,-0.07,-0.06,-0.02
2021-05-15 23:05:54.555570,1621109154.5555706,0.34,0.31,9.62,-0.03,-0.03,-0.01,-1.96,0.21,8.24,-0.07,-0.02,-0.0
2021-05-15 23:05:54.666506,1621109154.666506,0.24,0.3,9.67,-0.03,-0.05,0.0,-2.04,0.21,8.24,-0.07,-0.05,-0.0
2021-05-15 23:05:54.777447,1621109154.777447,0.24,0.24,9.67,-0.05,-0.07,-0.01,-2.07,0.15,8.24,-0.07,-0.08,-0.01
2021-05-15 23:05:54.884312,1621109154.8843124,0.28,0.25,9.67,-0.04,-0.07,-0.02,-1.98,0.19,8.25,-0.07,-0.08,-0.02
2021-05-15 23:05:54.999277,1621109154.9992776,0.29,0.3,9.64,-0.04,-0.06,-0.03,-1.99,0.22,8.2,-0.06,-0.07,-0.02
2021-05-15 23:05:55.110256,1621109155.1102564,0.28,0.28,9.63,-0.04,-0.05,-0.02,-1.99,0.19,8.21,-0.07,-0.06,-0.0
2021-05-15 23:05:55.220665,1621109155.220666,0.24,0.27,9.62,-0.04,-0.06,-0.01,-2.01,0.18,8.21,-0.07,-0.06,0.0
