human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 02:19:39.952975,1621120779.952975,0.12,0.55,9.2,-0.03,-0.06,-0.01,5.78,1.06,6.53,-0.06,-0.04,-0.01
2021-05-16 02:19:40.063835,1621120780.0638351,0.09,0.59,9.56,-0.04,-0.05,-0.03,5.98,1.11,6.77,-0.07,-0.07,0.0
2021-05-16 02:19:40.175545,1621120780.175546,0.07,0.58,9.61,-0.04,-0.05,-0.01,6.01,1.1,6.76,-0.06,-0.06,-0.0
2021-05-16 02:19:40.285643,1621120780.2856438,0.1,0.58,9.62,-0.03,-0.07,0.0,6.0,1.09,6.76,-0.06,-0.06,-0.0
2021-05-16 02:19:40.397330,1621120780.3973308,0.11,0.58,9.58,-0.05,-0.07,-0.0,5.99,1.1,6.77,-0.07,-0.08,0.01
2021-05-16 02:19:40.507356,1621120780.5073564,0.13,0.59,9.62,-0.03,-0.06,-0.03,6.05,1.09,6.74,-0.06,-0.06,-0.01
2021-05-16 02:19:40.619183,1621120780.6191833,0.08,0.59,9.62,-0.05,-0.04,-0.02,6.03,1.09,6.75,-0.07,-0.08,0.01
2021-05-16 02:19:40.729109,1621120780.7291095,0.05,0.6,9.58,-0.04,-0.05,-0.01,6.02,1.09,6.76,-0.06,-0.08,0.01
2021-05-16 02:19:40.840126,1621120780.8401265,0.07,0.58,9.62,-0.05,-0.06,-0.0,6.04,1.09,6.75,-0.07,-0.08,0.01
2021-05-16 02:19:40.950735,1621120780.9507353,0.06,0.58,9.61,-0.04,-0.06,-0.0,6.06,1.06,6.73,-0.06,-0.07,0.0
2021-05-16 02:19:41.053910,1621120781.0539107,0.07,0.56,9.58,-0.03,-0.09,-0.01,6.03,1.09,6.76,-0.06,-0.06,-0.0
2021-05-16 02:19:41.170242,1621120781.170242,0.1,0.55,9.6,-0.03,-0.07,-0.0,6.01,1.08,6.75,-0.06,-0.06,-0.0
2021-05-16 02:19:41.269719,1621120781.2697198,0.11,0.57,9.59,-0.03,-0.07,-0.01,6.02,1.09,6.76,-0.06,-0.06,-0.01
2021-05-16 02:19:41.386072,1621120781.3860726,0.08,0.57,9.59,-0.04,-0.07,-0.01,6.01,1.09,6.76,-0.07,-0.07,0.0
