human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 10:01:37.683659,1621148497.6836596,0.07,0.07,0.74,-0.03,-0.06,-0.01,-0.06,0.16,1.12,-0.08,-0.07,0.0
2021-05-16 10:01:37.696349,1621148497.6963496,0.31,0.31,3.16,-0.03,-0.06,-0.01,-0.17,0.44,3.11,-0.08,-0.07,0.0
2021-05-16 10:01:37.706347,1621148497.7063477,0.46,0.47,4.9,-0.03,-0.06,-0.01,-0.26,0.65,4.56,-0.08,-0.06,0.0
2021-05-16 10:01:37.716274,1621148497.7162745,0.58,0.58,6.19,-0.03,-0.06,-0.01,-0.33,0.8,5.64,-0.08,-0.06,0.0
2021-05-16 10:01:37.726776,1621148497.7267768,0.66,0.67,7.14,-0.03,-0.06,-0.01,-0.37,0.9,6.34,-0.08,-0.06,0.0
2021-05-16 10:01:37.736666,1621148497.7366667,0.71,0.74,7.81,-0.03,-0.06,-0.01,-0.41,0.97,6.93,-0.07,-0.06,0.0
2021-05-16 10:01:37.746548,1621148497.7465487,0.76,0.79,8.31,-0.03,-0.06,-0.02,-0.44,1.03,7.35,-0.07,-0.06,0.0
2021-05-16 10:01:37.756840,1621148497.7568405,0.8,0.82,8.65,-0.03,-0.06,-0.02,-0.45,1.07,7.66,-0.07,-0.06,0.0
2021-05-16 10:01:37.766516,1621148497.766516,0.81,0.86,8.91,-0.03,-0.06,-0.02,-0.46,1.1,7.88,-0.07,-0.06,-0.0
2021-05-16 10:01:37.776154,1621148497.7761545,0.84,0.89,9.1,-0.03,-0.05,-0.02,-0.47,1.13,8.04,-0.07,-0.06,-0.0
2021-05-16 10:01:37.786802,1621148497.7868028,0.85,0.91,9.25,-0.03,-0.05,-0.02,-0.47,1.15,8.16,-0.08,-0.06,-0.0
2021-05-16 10:01:37.796344,1621148497.796344,0.85,0.92,9.34,-0.04,-0.05,-0.02,-0.47,1.16,8.23,-0.08,-0.07,-0.0
2021-05-16 10:01:37.806308,1621148497.8063085,0.85,0.93,9.4,-0.04,-0.05,-0.02,-0.47,1.18,8.29,-0.08,-0.07,-0.01
2021-05-16 10:01:37.816270,1621148497.8162706,0.85,0.92,9.45,-0.04,-0.05,-0.02,-0.49,1.18,8.32,-0.08,-0.07,-0.01
2021-05-16 10:01:37.826029,1621148497.8260293,0.85,0.91,9.52,-0.04,-0.05,-0.02,-0.49,1.17,8.37,-0.08,-0.07,-0.01
2021-05-16 10:01:37.836027,1621148497.8360276,0.86,0.9,9.58,-0.04,-0.05,-0.02,-0.5,1.17,8.39,-0.08,-0.07,-0.01
2021-05-16 10:01:37.846228,1621148497.8462288,0.86,0.88,9.63,-0.04,-0.05,-0.02,-0.51,1.17,8.43,-0.08,-0.07,-0.02
2021-05-16 10:01:37.856641,1621148497.8566415,0.86,0.88,9.63,-0.03,-0.05,-0.02,-0.5,1.18,8.46,-0.07,-0.06,-0.02
