human_time,computer_time,x_acc_1,y_acc_1,z_acc_1,x_gyro_1,y_gyro_1,z_gyro_1,x_acc_2,y_acc_2,z_acc_2,x_gyro_2,y_gyro_2,z_gyro_2
2021-05-16 11:39:53.341021,1621154393.3410218,1.09,0.55,9.27,-0.04,-0.07,-0.03,-1.99,0.36,7.97,-0.07,-0.08,-0.01
2021-05-16 11:39:53.451873,1621154393.4518735,1.13,0.55,9.65,-0.04,-0.07,-0.01,-2.06,0.38,8.28,-0.07,-0.08,0.0
2021-05-16 11:39:53.562661,1621154393.5626616,1.16,0.56,9.63,-0.04,-0.07,-0.0,-2.03,0.38,8.27,-0.08,-0.07,0.02
2021-05-16 11:39:53.673572,1621154393.6735725,1.17,0.55,9.62,-0.03,-0.05,-0.0,-2.02,0.37,8.26,-0.07,-0.06,0.01
2021-05-16 11:39:53.784446,1621154393.7844465,1.15,0.54,9.63,-0.03,-0.06,-0.01,-2.03,0.38,8.27,-0.07,-0.06,-0.01
2021-05-16 11:39:53.891910,1621154393.8919098,1.13,0.56,9.66,-0.03,-0.05,-0.01,-2.03,0.4,8.3,-0.06,-0.07,-0.03
2021-05-16 11:39:54.005577,1621154394.005578,1.13,0.57,9.65,-0.03,-0.06,-0.01,-2.02,0.38,8.28,-0.07,-0.07,0.0
2021-05-16 11:39:54.116995,1621154394.1169956,1.14,0.58,9.62,-0.03,-0.06,-0.01,-2.03,0.4,8.25,-0.06,-0.06,-0.01
2021-05-16 11:39:54.227843,1621154394.2278438,1.16,0.58,9.59,-0.03,-0.04,-0.01,-2.01,0.39,8.24,-0.07,-0.05,-0.01
2021-05-16 11:39:54.338750,1621154394.3387506,1.14,0.6,9.61,-0.03,-0.05,-0.02,-2.04,0.41,8.24,-0.07,-0.04,-0.01
2021-05-16 11:39:54.449716,1621154394.4497163,1.11,0.61,9.62,-0.03,-0.04,-0.02,-2.08,0.4,8.28,-0.06,-0.04,-0.01
2021-05-16 11:39:54.560842,1621154394.5608428,1.07,0.62,9.65,-0.03,-0.05,-0.01,-2.1,0.4,8.26,-0.07,-0.05,-0.0
2021-05-16 11:39:54.671567,1621154394.671568,1.07,0.58,9.65,-0.03,-0.06,-0.01,-2.1,0.38,8.25,-0.08,-0.05,0.01
2021-05-16 11:39:54.782458,1621154394.782458,1.02,0.61,9.63,-0.03,-0.06,-0.02,-2.15,0.42,8.25,-0.06,-0.06,-0.0
2021-05-16 11:39:54.893322,1621154394.8933222,1.06,0.6,9.63,-0.03,-0.05,-0.02,-2.1,0.4,8.24,-0.06,-0.06,-0.01
2021-05-16 11:39:55.004451,1621154395.0044513,1.05,0.61,9.6,-0.04,-0.04,-0.02,-2.11,0.42,8.23,-0.06,-0.04,-0.01
2021-05-16 11:39:55.114942,1621154395.1149426,1.0,0.64,9.61,-0.03,-0.02,-0.01,-2.14,0.41,8.2,-0.09,-0.02,0.01
2021-05-16 11:39:55.225685,1621154395.225685,0.94,0.65,9.64,-0.01,-0.0,-0.0,-2.19,0.4,8.2,-0.1,-0.01,0.01
2021-05-16 11:39:55.336711,1621154395.3367114,0.83,0.65,9.73,-0.02,-0.02,-0.02,-2.28,0.36,8.26,-0.08,-0.05,0.0
2021-05-16 11:39:55.447731,1621154395.4477317,0.84,0.68,9.67,-0.03,-0.04,-0.03,-2.23,0.34,8.24,-0.05,-0.07,-0.0
2021-05-16 11:39:55.558388,1621154395.5583885,0.81,0.69,9.63,-0.04,-0.06,-0.01,-2.25,0.38,8.21,-0.09,-0.09,-0.0
2021-05-16 11:39:55.667540,1621154395.6675408,0.86,0.68,9.64,-0.05,-0.05,-0.02,-2.22,0.37,8.21,-0.09,-0.07,-0.0
2021-05-16 11:39:55.780475,1621154395.7804751,0.85,0.65,9.67,-0.05,-0.07,-0.01,-2.25,0.33,8.21,-0.08,-0.07,0.01
2021-05-16 11:39:55.891058,1621154395.8910582,0.82,0.62,9.67,-0.04,-0.08,-0.0,-2.23,0.34,8.22,-0.07,-0.08,0.0
2021-05-16 11:39:56.001979,1621154396.0019794,0.87,0.63,9.65,-0.03,-0.08,-0.0,-2.19,0.32,8.23,-0.07,-0.08,0.0
2021-05-16 11:39:56.112994,1621154396.1129942,0.88,0.63,9.64,-0.03,-0.07,-0.02,-2.17,0.29,8.25,-0.07,-0.08,-0.01
2021-05-16 11:39:56.223439,1621154396.2234392,0.84,0.65,9.69,-0.03,-0.07,-0.02,-2.15,0.34,8.26,-0.07,-0.09,-0.04
2021-05-16 11:39:56.334839,1621154396.3348398,0.88,0.63,9.64,-0.03,-0.08,-0.02,-2.13,0.34,8.22,-0.05,-0.09,-0.01
2021-05-16 11:39:56.445674,1621154396.4456744,0.93,0.69,9.63,-0.03,-0.08,-0.0,-2.14,0.39,8.23,-0.07,-0.08,-0.0
2021-05-16 11:39:56.556487,1621154396.556488,0.91,0.67,9.65,-0.03,-0.08,0.0,-2.14,0.35,8.27,-0.08,-0.08,0.01
2021-05-16 11:39:56.667620,1621154396.6676207,0.93,0.64,9.64,-0.03,-0.08,0.0,-2.12,0.34,8.25,-0.07,-0.08,0.01
